Time	RF	BF	VM	EMG S	F-E
0.056	0.0975	0.048	-0.0383	-0.0233	-8
0.057	0.1012	0.0352	-0.039	-0.0675	-8.2
0.058	0.0975	-0.0068	-0.0443	-0.0706	-8.6
0.059	0.0937	-0.042	-0.0495	-0.042	-8.8
0.06	0.0847	-0.0338	-0.0511	-0.024	-9.1
0.061	0.072	0.0045	-0.0518	-0.0218	-9.6
0.062	0.0637	0.021	-0.0585	-0.0443	-9.8
0.063	0.048	0.0217	-0.06	-0.0503	-10.1
0.064	0.0307	0.0052	-0.057	-0.0578	-10.7
0.065	0.018	-0.0008	-0.0503	-0.0668	-10.8
0.066	0.0127	0.039	-0.0443	-0.0443	-11.5
0.067	0.0052	0.0787	-0.0383	-0.0038	-11.8
0.068	-0.0105	0.0937	-0.0263	0.0225	-12.2
0.069	-0.0285	0.0315	-0.0113	0.0285	-12.6
0.07	-0.0315	-0.057	0.0067	0.0337	-12.8
0.071	-0.0361	-0.0473	0.0165	0.027	-13.4
0.072	-0.042	-0.0023	0.012	0.027	-13.6
0.073	-0.0346	-0.0203	0.0067	0.0285	-14
0.074	-0.0278	-0.042	-0.0008	0.0247	-14.3
0.075	0.0007	-0.0511	0.0007	0.036	-14.5
0.076	0.0277	-0.0218	0.0082	0.0495	-14.9
0.077	0.033	0.0315	0.0247	0.0577	-15.1
0.078	0.0645	0.0397	0.0532	0.0495	-15.2
0.079	0.0952	0.0525	0.0787	0.0382	-15.5
0.08	0.0675	0.054	0.1155	0.03	-15.7
0.081	0.0435	0.0525	0.159	0.0232	-16
0.082	0.0495	0.0652	0.1687	0.0405	-16.2
0.083	0.0435	0.063	0.1507	0.0472	-16.1
0.084	0.036	0.0532	0.1387	0.0307	-16.2
0.085	0.012	0.027	0.1207	0.0187	-16.3
0.086	-0.0158	-0.0135	0.0892	0.0045	-16.6
0.087	-0.027	-0.0743	0.06	-0.0053	-16.7
0.088	-0.0008	-0.0893	0.042	-0.0046	-16.6
0.089	0.0427	-0.0338	0.0397	0.0022	-16.7
0.09	0.0615	-0.021	0.0532	0	-16.7
0.091	0.0592	-0.039	0.0622	-0.0173	-16.3
0.092	0.0405	-0.0218	0.0555	-0.0308	-16.5
0.093	0.024	0.0247	0.0442	-0.0315	-16.4
0.094	0.0067	0.036	0.0255	-0.0143	-16.2
0.095	-0.0046	0.0165	0.0082	-0.0015	-16
0.096	-0.0143	0.0255	-0.0053	0.024	-15.8
0.097	-0.0225	0.0457	-0.0195	0.0502	-15.7
0.098	-0.0308	0.072	-0.021	0.0465	-15.5
0.099	-0.048	0.099	-0.024	0.0427	-15.3
0.1	-0.0533	0.099	-0.0285	0.0352	-15.3
0.101	-0.048	0.0802	-0.0218	0.0352	-14.9
0.102	-0.0428	0.0427	-0.0173	0.0345	-14.8
0.103	-0.039	0.0007	-0.0218	0.0105	-14.8
0.104	-0.0443	0.0045	-0.0368	-0.0173	-14.4
0.105	-0.057	0.015	-0.0511	-0.057	-14.6
0.106	-0.06	-0.042	-0.0638	-0.0953	-14.3
0.107	-0.0675	-0.1763	-0.0645	-0.1133	-14.2
0.108	-0.0743	-0.273	-0.0653	-0.1043	-14.3
0.109	-0.0706	-0.2175	-0.0803	-0.0698	-13.9
0.11	-0.0638	-0.186	-0.0825	-0.0615	-14.1
0.111	-0.0578	-0.1335	-0.0691	-0.0668	-13.6
0.112	-0.0548	-0.0495	-0.0675	-0.057	-13.9
0.113	-0.0473	-0.0608	-0.084	-0.0308	-13.9
0.114	-0.0398	0.0007	-0.093	-0.0053	-13.8
0.115	-0.0368	0.027	-0.09	-0.0008	-13.5
0.116	-0.0346	0.03	-0.0878	0.0292	-13.8
0.117	-0.0338	0.0517	-0.093	0.057	-13.5
0.118	-0.0405	0.0622	-0.093	0.048	-13.9
0.119	-0.0375	0.0697	-0.0803	0.0382	-13.6
0.12	-0.0105	0.0382	-0.0578	0.0187	-13.6
0.121	0.0195	0.018	-0.0308	0.0112	-13.7
0.122	0.0307	-0.0015	-0.0233	0.0135	-13.5
0.123	0.033	0.0232	-0.0353	0.0195	-13.7
0.124	0.036	0.027	-0.0585	0.0202	-13.6
0.125	0.0405	0.0292	-0.075	0.0172	-13.5
0.126	0.0457	0.0345	-0.0615	0.0202	-13.5
0.127	0.0352	0.0285	-0.0383	0.0195	-13.5
0.128	0.0262	0.03	-0.0218	0.0202	-13.4
0.129	0.039	0.0202	-0.0128	0.0172	-13.5
0.13	0.0472	0.0255	0.0082	0.0127	-13.5
0.131	0.0435	0.021	0.0405	0.0127	-13.6
0.132	0.0352	0.0202	0.0607	0.0097	-13.5
0.133	0.0157	0.0142	0.0615	0.0067	-13.3
0.134	0.0105	0.0165	0.0652	0.0075	-13.5
0.135	0.0277	0.0232	0.078	0.012	-13.4
0.136	0.048	0.0232	0.0742	0.0165	-13.4
0.137	0.057	0.0232	0.0607	0.012	-13.2
0.138	0.0615	0.015	0.0502	0.0015	-13.2
0.139	0.0577	0.0082	0.0382	-0.003	-13.2
0.14	0.069	0.0007	0.0262	-0.0105	-13.1
0.141	0.1522	-0.0008	0.0232	-0.0143	-13.1
0.142	0.303	-0.0015	0.0262	-0.0053	-13
0.143	0.3382	0.0037	0.0277	0.0045	-12.9
0.144	0.2565	0.0105	0.0307	0.0075	-13
0.145	0.2205	0.0097	0.0292	0.0067	-13
0.146	0.1485	0.0052	0.024	-0.0023	-13
0.147	0.0997	-0.0008	0.0232	-0.0091	-13
0.148	0.0637	0.0007	0.0277	-0.0046	-12.8
0.149	0.0232	0	0.0367	0.0007	-12.9
0.15	0.0675	-0.003	0.0465	-0.0046	-12.8
0.151	0.1312	-0.0075	0.054	-0.0068	-12.8
0.152	0.1372	-0.0128	0.0607	-0.0053	-13.1
0.153	0.0915	-0.015	0.06	-0.0046	-12.6
0.154	0.027	-0.0113	0.057	-0.0008	-12.7
0.155	-0.0443	-0.0083	0.06	0.0015	-12.7
0.156	-0.0803	-0.0038	0.0712	0.003	-12.7
0.157	-0.1155	0.0015	0.0825	0.0045	-12.8
0.158	-0.1388	-0.0008	0.0705	0.0015	-12.7
0.159	-0.168	-0.003	0.0517	0.003	-12.7
0.16	-0.2003	-0.0038	0.042	0.0082	-12.6
0.161	-0.2213	-0.003	0.0255	0.0067	-12.6
0.162	-0.231	-0.0046	0.012	0.003	-12.6
0.163	-0.228	-0.0046	-0.0015	0.0007	-12.7
0.164	-0.231	-0.0046	-0.0165	-0.0068	-12.6
0.165	-0.222	-0.0053	-0.0263	-0.0083	-12.7
0.166	-0.2093	-0.0053	-0.0323	-0.0046	-12.6
0.167	-0.1845	-0.0068	-0.0368	-0.0015	-12.5
0.168	-0.1748	-0.0068	-0.0443	-0.0038	-12.7
0.169	-0.1598	-0.0098	-0.045	-0.0068	-12.3
0.17	-0.132	-0.0098	-0.042	-0.003	-12.7
0.171	-0.1006	-0.0046	-0.0405	0.0015	-12.5
0.172	-0.0765	0.0007	-0.0353	0.0045	-12.5
0.173	-0.078	0.0007	-0.0278	0.0045	-12.5
0.174	-0.0683	-0.0008	-0.027	0.003	-12.5
0.175	-0.0615	-0.0015	-0.0225	0.0037	-12.5
0.176	-0.057	-0.0015	-0.0135	0.0037	-12.5
0.177	-0.0436	-0.0008	-0.0113	0.003	-12.5
0.178	-0.0233	-0.0015	-0.0075	0.0015	-12.3
0.179	-0.003	-0.0046	-0.0053	-0.003	-12.4
0.18	0.0112	-0.006	-0.0105	-0.0038	-12.5
0.181	0.0195	-0.0068	-0.0165	-0.0008	-12.3
0.182	0.0232	-0.0053	-0.0256	-0.0015	-12.2
0.183	0.0292	-0.0023	-0.0346	0.0015	-12.3
0.184	0.024	-0.0015	-0.039	0.003	-12.2
0.185	0.0277	-0.0023	-0.0436	-0.0008	-12.2
0.186	0.027	-0.0015	-0.0465	-0.003	-12.3
0.187	0.021	-0.0023	-0.0473	-0.0015	-12.2
0.188	0.0187	-0.0023	-0.0458	-0.0083	-12
0.189	0.0007	-0.0038	-0.0353	-0.0128	-12.1
0.19	-0.0181	-0.0053	-0.0308	-0.0128	-11.9
0.191	-0.0308	-0.0038	-0.0368	-0.012	-12
0.192	-0.0158	-0.0008	-0.0398	-0.0053	-11.9
0.193	0.0007	0.0015	-0.0368	-0.0068	-11.9
0.194	0.0015	0.0022	-0.0383	0.0007	-11.8
0.195	0.0052	0.0015	-0.0458	0.015	-11.8
0.196	0	-0.0008	-0.0518	0.012	-11.8
0.197	-0.0053	-0.003	-0.0555	0.003	-11.7
0.198	-0.0098	-0.0053	-0.0525	-0.0015	-11.6
0.199	-0.0128	-0.0046	-0.0413	-0.0038	-11.6
0.2	-0.0181	-0.0053	-0.0315	-0.0046	-11.6
0.201	-0.0225	-0.0046	-0.0195	-0.0023	-11.5
0.202	-0.0203	0.0007	-0.0075	0.003	-11.4
0.203	-0.0203	0.0052	0.003	0.0112	-11.2
0.204	-0.0225	0.0075	0.0142	0.0112	-11.4
0.205	-0.0248	0.0052	0.0217	0.0067	-11.2
0.206	-0.0256	0.0007	0.0307	0.006	-10.9
0.207	-0.027	-0.0015	0.0405	0.0037	-11.2
0.208	-0.0308	-0.0008	0.0457	-0.0008	-11.1
0.209	-0.0346	-0.0015	0.0487	-0.0015	-11
0.21	-0.0346	-0.0015	0.0532	0	-10.8
0.211	-0.0315	0	0.057	0.006	-10.7
0.212	-0.0285	0	0.0577	0.009	-10.9
0.213	-0.0233	0.0007	0.0585	0.0112	-10.5
0.214	-0.024	0.0007	0.0517	0.0142	-10.7
0.215	-0.03	0	0.048	0.0202	-10.4
0.216	-0.0285	0.0015	0.0427	0.024	-10.4
0.217	-0.0181	0.0045	0.0405	0.018	-10.5
0.218	-0.0143	0.0052	0.0427	0.003	-10.4
0.219	-0.0135	0.0015	0.0457	-0.0218	-10.1
0.22	-0.0105	-0.0008	0.0547	-0.027	-10.1
0.221	-0.0083	0.0015	0.06	-0.0105	-9.8
0.222	-0.0023	0.0045	0.063	0.003	-9.9
0.223	0.0127	0.0015	0.0637	0.0142	-9.7
0.224	0.0255	-0.0008	0.0637	0.0157	-9.6
0.225	0.039	-0.0098	0.0645	-0.0023	-9.5
0.226	0.0502	-0.0293	0.0585	-0.0113	-9.5
0.227	0.0562	-0.0436	0.0517	-0.0128	-9.4
0.228	0.0675	-0.0278	0.0442	-0.0195	-9.4
0.229	0.0765	-0.0053	0.0382	-0.0053	-9
0.23	0.087	0.0082	0.0292	0.0007	-9
0.231	0.0892	0.027	0.0202	-0.024	-9
0.232	0.0855	0.039	0.0172	-0.0368	-8.7
0.233	0.084	0.0367	0.0082	-0.0323	-8.9
0.234	0.0712	0.0292	0.0015	-0.0098	-8.6
0.235	0.06	0.0322	-0.0068	0.0367	-8.5
0.236	0.0667	0.024	-0.0165	0.0502	-8.6
0.237	0.0765	0.0052	-0.024	0.0247	-8.2
0.238	0.0802	-0.0091	-0.0285	-0.0113	-8.2
0.239	0.0787	-0.0436	-0.0315	-0.0278	-8.2
0.24	0.0712	-0.0653	-0.0405	-0.021	-8.1
0.241	0.0562	-0.0383	-0.048	-0.0105	-8
0.242	0.0442	-0.0091	-0.0495	0.003	-7.9
0.243	0.03	-0.0113	-0.054	-0.0046	-7.7
0.244	0.0135	-0.003	-0.054	-0.003	-7.7
0.245	0.0015	0.0232	-0.0578	0.0172	-7.5
0.246	-0.015	0.0412	-0.0593	0.0135	-7.5
0.247	-0.0308	0.0262	-0.0578	0.0067	-7.2
0.248	-0.0308	0.0075	-0.054	0.0052	-7.2
0.249	-0.0158	-0.0008	-0.0465	0.0022	-7.1
0.25	0.0022	-0.0068	-0.042	0.009	-7
0.251	0.0157	0.0007	-0.0413	0.009	-7
0.252	0.0285	-0.0015	-0.0361	0.003	-6.7
0.253	0.0495	-0.0015	-0.0368	0.0015	-6.8
0.254	0.0705	-0.0008	-0.039	0.0007	-6.8
0.255	0.0855	-0.0038	-0.0375	0.0052	-6.7
0.256	0.0907	-0.003	-0.0375	0.0052	-6.8
0.257	0.0765	-0.0046	-0.0368	0.0052	-6.5
0.258	0.0517	-0.003	-0.0368	0.0052	-6.5
0.259	0.0315	-0.0038	-0.039	0.0045	-6.3
0.26	0.0277	0.0007	-0.0428	0.0067	-6.4
0.261	0.0277	0.0015	-0.0398	0.0052	-6.1
0.262	0.0202	0.0015	-0.0308	0.0052	-6.3
0.263	0.0105	0.0015	-0.0285	0.0037	-6
0.264	-0.0053	-0.003	-0.0383	0.0007	-6.2
0.265	-0.0195	-0.0038	-0.045	-0.0015	-6
0.266	-0.0248	-0.0083	-0.048	-0.0046	-6.1
0.267	-0.0263	-0.0083	-0.0488	-0.0038	-5.9
0.268	-0.027	-0.0075	-0.0473	-0.003	-6
0.269	-0.0225	-0.0075	-0.048	-0.0008	-5.8
0.27	-0.0158	-0.0038	-0.0383	0.0022	-5.8
0.271	-0.0038	-0.0008	-0.033	0.0022	-5.6
0.272	0.0015	-0.0008	-0.033	0.0007	-5.8
0.273	-0.0008	-0.0015	-0.0181	-0.0008	-5.6
0.274	-0.0053	-0.003	-0.012	-0.003	-5.8
0.275	-0.0053	-0.0053	-0.0098	-0.0023	-5.7
0.276	-0.0008	-0.0046	-0.0015	-0.0008	-5.5
0.277	-0.0008	0.0045	0.0105	0.003	-5.5
0.278	0.0045	0.0112	0.0202	0.0045	-5.7
0.279	-0.0008	0.0052	0.018	0.0007	-5.4
0.28	-0.0173	0.0015	0.0217	-0.0008	-5.4
0.281	-0.0278	0.0015	0.0255	-0.0008	-5.4
0.282	-0.0398	0.0007	0.0285	0	-5.4
0.283	-0.0436	0.0007	0.0345	-0.0008	-5.3
0.284	-0.0473	-0.003	0.0352	-0.0015	-5.3
0.285	-0.0533	-0.0046	0.036	-0.0015	-5.4
0.286	-0.0548	-0.003	0.036	-0.0023	-5.1
0.287	-0.057	-0.003	0.0382	-0.0008	-5
0.288	-0.0578	-0.0053	0.0427	-0.0008	-5
0.289	-0.0533	-0.0075	0.0465	-0.0023	-5
0.29	-0.0495	-0.0053	0.048	0.0007	-5
0.291	-0.0436	-0.003	0.0495	0.0022	-5
0.292	-0.0293	0	0.054	0.0037	-4.9
0.293	-0.0195	0.0007	0.0555	0.003	-5
0.294	-0.0143	0.0015	0.054	0.0015	-4.8
0.295	-0.015	0.0007	0.0547	0.003	-4.7
0.296	-0.0203	0.0022	0.0562	0.0015	-4.8
0.297	-0.0233	0.003	0.054	0.0007	-4.5
0.298	-0.024	0	0.0517	0.0015	-4.8
0.299	-0.0233	0	0.0517	0	-4.5
0.3	-0.0165	-0.0015	0.0532	-0.0015	-4.4
0.301	-0.015	-0.0046	0.048	-0.0038	-4.5
0.302	-0.0128	-0.0053	0.0382	-0.0053	-4.4
0.303	0.0007	-0.0046	0.0382	-0.0038	-4.2
0.304	0.0045	-0.0038	0.0435	-0.0015	-4.2
0.305	0.009	-0.0038	0.0427	0.0015	-4.1
0.306	0.0255	-0.003	0.036	0.0052	-4.1
0.307	0.0517	-0.0015	0.03	0.0067	-4
0.308	0.057	0.003	0.0285	0.0067	-3.9
0.309	0.012	0.0052	0.0345	0.0052	-4.1
0.31	-0.024	0.0067	0.0427	0.006	-3.9
0.311	-0.0248	0.0075	0.0397	0.0067	-3.8
0.312	-0.0181	0.0045	0.0337	0.0015	-3.7
0.313	-0.0158	0.0007	0.03	-0.0068	-3.6
0.314	-0.0143	-0.003	0.0255	-0.0128	-3.7
0.315	-0.0068	-0.0046	0.0232	-0.0075	-3.4
0.316	-0.0008	-0.0015	0.018	0.0052	-3.5
0.317	0.0105	-0.0008	0.0157	0.0045	-3.5
0.318	0.0217	-0.0015	0.012	-0.0008	-3.4
0.319	0.027	-0.0008	0.0082	-0.0023	-3.4
0.32	0.0232	0.0007	0.0045	-0.0105	-3.1
0.321	0.0195	0.0015	0.0015	-0.0128	-3.1
0.322	0.0187	0.009	-0.0008	0.0045	-3.1
0.323	0.0135	0.0075	0.0015	0.0135	-3.1
0.324	0.0105	0.003	0.0022	0.0097	-3
0.325	0.0142	0.0045	0.0007	0.0067	-3.1
0.326	0.0532	0.0007	-0.0023	-0.0046	-2.8
0.327	0.087	-0.0008	-0.006	-0.0046	-2.9
0.328	0.0517	-0.0015	-0.0128	-0.0015	-3
0.329	0.0037	-0.003	-0.021	-0.0008	-2.9
0.33	-0.0091	-0.0023	-0.0308	0.0015	-3
0.331	-0.0113	-0.0038	-0.0383	0.0022	-2.6
0.332	-0.021	-0.0015	-0.0428	0.0052	-2.7
0.333	-0.033	0	-0.045	0.0022	-2.6
0.334	-0.0353	0	-0.0465	-0.0008	-2.7
0.335	-0.0413	-0.0008	-0.048	-0.003	-2.4
0.336	-0.042	-0.0008	-0.0495	-0.003	-2.5
0.337	-0.033	-0.0008	-0.0511	0.0007	-2.5
0.338	-0.0181	-0.0015	-0.0525	0.003	-2.4
0.339	-0.0053	0.0007	-0.0525	0.0052	-2.4
0.34	-0.0015	0.0015	-0.0518	0.009	-2.3
0.341	0.0015	0.009	-0.0495	0.015	-2.3
0.342	0.003	0.0232	-0.0495	0.018	-2.1
0.343	0.0067	0.0367	-0.0488	0.0157	-2.3
0.344	0.0082	0.039	-0.0443	0.0105	-2.1
0.345	0.0045	0.0337	-0.0413	0.0022	-2
0.346	0.0082	0.0307	-0.0405	-0.003	-2
0.347	0.0127	0.0202	-0.0383	-0.0091	-1.9
0.348	0.0142	0.012	-0.0375	-0.0091	-2
0.349	0.0157	-0.0256	-0.0361	-0.015	-1.8
0.35	0.012	-0.093	-0.0346	-0.0256	-2
0.351	0.009	-0.111	-0.033	-0.0165	-1.8
0.352	0.0052	-0.0721	-0.0315	-0.0015	-1.8
0.353	-0.0008	-0.0368	-0.0278	-0.0015	-1.7
0.354	-0.003	-0.024	-0.0256	-0.0008	-1.6
0.355	-0.003	-0.0083	-0.0225	0.0067	-1.7
0.356	-0.0053	-0.0038	-0.0181	0.009	-1.7
0.357	-0.0053	0.006	-0.0165	0.0135	-1.7
0.358	-0.0068	0.0082	-0.0165	0.0127	-1.6
0.359	-0.015	0.012	-0.0128	0.0082	-1.6
0.36	-0.0158	0.0225	-0.0158	-0.003	-1.5
0.361	-0.0173	0.0172	-0.0143	-0.006	-1.6
0.362	-0.0308	0.0225	-0.0098	0.003	-1.4
0.363	-0.039	0.0165	-0.006	0.0037	-1.4
0.364	-0.0353	0.0142	0.0045	0.0007	-1.4
0.365	-0.0315	0.003	0.0127	-0.0053	-1.2
0.366	-0.0346	-0.0105	0.0142	-0.012	-1.4
0.367	-0.0346	0.0022	0.0172	-0.0053	-1.2
0.368	-0.0293	0.0105	0.0165	-0.003	-1.2
0.369	-0.0263	0.0007	0.0127	-0.0046	-1.2
0.37	-0.021	-0.0165	0.0127	-0.0015	-1
0.371	-0.0165	-0.0195	0.0105	0.003	-1
0.372	-0.0128	-0.0075	0.0105	0.0112	-1
0.373	-0.0083	0.003	0.012	0.0112	-0.8
0.374	-0.0015	0.0052	0.0112	0.009	-0.9
0.375	0.0015	0.006	0.0127	0.0082	-0.9
0.376	0.003	0.0045	0.0135	0.0082	-0.8
0.377	0.0067	0.0082	0.0165	0.009	-0.8
0.378	0.009	0.0052	0.0187	0.0052	-0.8
0.379	0.0105	0.0015	0.018	-0.0008	-0.6
0.38	0.0135	0.0015	0.0165	-0.0068	-0.7
0.381	0.0165	0.0007	0.018	-0.0091	-0.5
0.382	0.0202	0.003	0.0157	-0.0105	-0.7
0.383	0.024	0.0015	0.0105	-0.0105	-0.3
0.384	0.0255	0.0022	0.0105	-0.0023	-0.5
0.385	0.03	0.0037	0.009	0.0067	-0.4
0.386	0.0345	0.0007	0.0067	0.0075	-0.4
0.387	0.0375	-0.0008	0.0082	0.0067	-0.3
0.388	0.0367	-0.003	0.0067	0.003	-0.3
0.389	0.0397	-0.0023	0.0045	-0.0015	-0.3
0.39	0.0412	-0.003	0.0037	-0.0015	-0.2
0.391	0.0412	-0.003	0.0045	-0.0068	-0.3
0.392	0.039	-0.0046	0.0052	-0.012	-0.1
0.393	0.0382	-0.003	0.0067	-0.0113	0
0.394	0.0397	-0.0008	0.0045	-0.0091	0.1
0.395	0.039	0.0007	0.0037	-0.0015	-0.1
0.396	0.0367	0.0015	0.0045	0.0045	0.1
0.397	0.033	0.0022	0.0052	0.0075	0.1
0.398	0.03	0.0022	0.0045	0.0105	0
0.399	0.0277	0.0045	0.0045	0.0105	0.3
0.4	0.0225	0.0052	0.0052	0.012	0.2
0.401	0.018	0.003	0.0052	0.0105	0.2
0.402	0.0142	-0.0015	0.0067	0.0075	0.3
0.403	0.0105	-0.003	0.0075	0.003	0.3
0.404	0.009	-0.0038	0.0045	0.0007	0.4
0.405	0.006	-0.0038	0.0052	-0.0015	0.4
0.406	0.003	-0.0046	0.0045	-0.0053	0.6
0.407	-0.0008	-0.003	0.003	-0.0083	0.6
0.408	-0.0015	-0.0015	0.003	-0.0075	0.5
0.409	-0.0053	-0.0015	0.003	-0.0053	0.7
0.41	-0.0068	0.0007	0.0007	-0.0023	0.6
0.411	-0.0075	0.0007	0.0007	-0.0015	0.6
0.412	-0.0091	0	0.0007	0.0007	0.8
0.413	-0.0105	0	-0.0015	0.003	0.7
0.414	-0.0098	-0.0008	-0.0015	0.003	0.7
0.415	-0.012	0.0007	0.0015	0.0045	0.7
0.416	-0.0158	0.0022	0.0015	0.0105	0.7
0.417	-0.0165	0.0052	0	0.018	0.9
0.418	-0.0181	0.0067	0	0.0157	0.9
0.419	-0.0225	0.0052	-0.0015	0.0052	0.9
0.42	-0.0278	0.003	-0.0046	-0.0053	0.9
0.421	-0.033	-0.0015	-0.006	-0.0165	1
0.422	-0.033	-0.0143	-0.0068	-0.0233	1
0.423	-0.0346	-0.0165	-0.0098	-0.0135	1
0.424	-0.0346	-0.0105	-0.0091	-0.0068	0.9
0.425	-0.033	-0.0165	-0.0083	-0.015	1
0.426	-0.0315	-0.0225	-0.0091	-0.0113	0.9
0.427	-0.03	-0.0083	-0.0068	0	1.1
0.428	-0.027	0.006	-0.0091	0.0082	1.2
0.429	-0.0263	0.0112	-0.0083	0.015	1
0.43	-0.027	0.0105	-0.0083	0.0142	1.3
0.431	-0.0256	0.0082	-0.0105	0.0112	1.2
0.432	-0.021	0.0067	-0.0113	0.0067	1.3
0.433	-0.0181	0.0015	-0.0143	-0.0023	1.3
0.434	-0.0158	-0.006	-0.0158	-0.0083	1.2
0.435	-0.012	-0.0181	-0.0165	-0.012	1.3
0.436	-0.0068	-0.0165	-0.0135	-0.0053	1.4
0.437	-0.0008	0	-0.012	0.0045	1.3
0.438	0.0045	0.0037	-0.0128	0.0067	1.5
0.439	0.0105	0.0052	-0.012	0.0082	1.3
0.44	0.0127	0.009	-0.0128	0.009	1.5
0.441	0.015	0.0045	-0.0128	0.0082	1.5
0.442	0.018	0.006	-0.012	0.0082	1.5
0.443	0.0202	0.0052	-0.0083	0.0082	1.6
0.444	0.021	0.0045	-0.0075	0.009	1.6
0.445	0.0217	0.003	-0.0053	0.0075	1.5
0.446	0.024	0.003	-0.0023	0.0045	1.8
0.447	0.024	0.0067	-0.0023	-0.0008	1.5
0.448	0.0217	0.0052	0.0007	-0.0046	1.8
0.449	0.0195	-0.0008	0.0022	-0.0053	1.8
0.45	0.0187	-0.0053	0.003	-0.0053	1.8
0.451	0.0157	-0.0038	0.0082	-0.0038	1.9
0.452	0.0135	0	0.0105	-0.0008	1.9
0.453	0.0135	-0.0008	0.0105	-0.0023	1.8
0.454	0.012	-0.0038	0.0127	-0.0023	2
0.455	0.012	-0.0008	0.0127	-0.0015	1.8
0.456	0.012	0.0007	0.0127	-0.0023	2
0.457	0.009	0.0022	0.0105	-0.003	2
0.458	0.009	0.006	0.009	-0.0008	2
0.459	0.0075	0.003	0.0105	0	2.1
0.46	0.006	0.0007	0.0105	-0.0015	1.8
0.461	0.0052	-0.0023	0.009	-0.0046	2.1
0.462	0.0037	-0.003	0.0082	-0.0046	2
0.463	0.0037	-0.0046	0.0067	-0.003	1.9
0.464	0.0067	-0.0046	0.0052	-0.0008	2.1
0.465	0.0082	-0.0015	0.0075	-0.0008	2
0.466	0.0067	-0.0023	0.0052	0.0007	2.1
0.467	0.0045	-0.003	0.0007	0.0037	2.1
0.468	0.003	-0.0046	0	0.003	2.2
0.469	-0.0008	-0.0046	-0.0008	0.0015	2.1
0.47	-0.0015	-0.003	-0.0015	-0.0015	2.1
0.471	-0.0008	-0.0015	-0.0046	-0.0015	2
