   Elapsed time	      I	     II	    III	    aVR	    aVL	    aVF	     V1	     V2	     V3	     V4	     V5	     V6
          0.050	  0.179	  1.185	  1.006	 -0.683	 -0.413	  1.097	 -0.086	 -0.144	 -0.028	 -0.159	 -0.735	 -0.588
          0.052	  0.177	  1.174	  0.997	 -0.676	 -0.409	  1.085	 -0.091	 -0.140	 -0.021	 -0.150	 -0.729	 -0.586
          0.054	  0.185	  1.184	  0.999	 -0.685	 -0.406	  1.091	 -0.078	 -0.129	 -0.009	 -0.140	 -0.726	 -0.581
          0.056	  0.195	  1.195	  1.001	 -0.695	 -0.403	  1.099	 -0.092	 -0.135	 -0.013	 -0.145	 -0.728	 -0.583
          0.058	  0.198	  1.204	  1.004	 -0.702	 -0.403	  1.105	 -0.101	 -0.136	 -0.009	 -0.146	 -0.726	 -0.579
          0.060	  0.202	  1.211	  1.010	 -0.707	 -0.404	  1.111	 -0.108	 -0.145	 -0.013	 -0.149	 -0.724	 -0.581
          0.062	  0.195	  1.213	  1.018	 -0.705	 -0.412	  1.117	 -0.106	 -0.139	 -0.007	 -0.147	 -0.723	 -0.579
          0.064	  0.195	  1.214	  1.020	 -0.705	 -0.412	  1.117	 -0.112	 -0.136	 -0.002	 -0.143	 -0.721	 -0.578
          0.066	  0.189	  1.204	  1.014	 -0.697	 -0.413	  1.110	 -0.104	 -0.126	  0.006	 -0.137	 -0.720	 -0.579
          0.068	  0.203	  1.216	  1.012	 -0.709	 -0.406	  1.114	 -0.102	 -0.117	  0.015	 -0.130	 -0.717	 -0.580
          0.070	  0.208	  1.210	  1.003	 -0.710	 -0.398	  1.107	 -0.102	 -0.104	  0.026	 -0.119	 -0.709	 -0.579
          0.072	  0.204	  1.210	  1.006	 -0.708	 -0.400	  1.108	 -0.093	 -0.100	  0.036	 -0.116	 -0.708	 -0.572
          0.074	  0.212	  1.206	  0.994	 -0.710	 -0.391	  1.101	 -0.095	 -0.090	  0.045	 -0.109	 -0.705	 -0.571
          0.076	  0.211	  1.218	  1.006	 -0.715	 -0.397	  1.111	 -0.099	 -0.090	  0.044	 -0.110	 -0.703	 -0.572
          0.078	  0.216	  1.220	  1.005	 -0.719	 -0.395	  1.113	 -0.104	 -0.086	  0.050	 -0.107	 -0.702	 -0.569
          0.080	  0.218	  1.230	  1.012	 -0.725	 -0.396	  1.121	 -0.113	 -0.088	  0.052	 -0.108	 -0.706	 -0.568
          0.082	  0.220	  1.237	  1.018	 -0.729	 -0.399	  1.128	 -0.112	 -0.083	  0.059	 -0.102	 -0.705	 -0.565
          0.084	  0.221	  1.238	  1.016	 -0.730	 -0.398	  1.127	 -0.119	 -0.080	  0.065	 -0.103	 -0.705	 -0.568
          0.086	  0.224	  1.236	  1.013	 -0.731	 -0.395	  1.125	 -0.113	 -0.071	  0.076	 -0.093	 -0.702	 -0.566
          0.088	  0.222	  1.237	  1.015	 -0.730	 -0.397	  1.127	 -0.110	 -0.063	  0.086	 -0.083	 -0.693	 -0.563
          0.090	  0.230	  1.226	  0.997	 -0.728	 -0.384	  1.111	 -0.101	 -0.040	  0.104	 -0.069	 -0.683	 -0.557
          0.092	  0.234	  1.222	  0.988	 -0.729	 -0.378	  1.105	 -0.096	 -0.034	  0.114	 -0.063	 -0.683	 -0.554
          0.094	  0.235	  1.220	  0.985	 -0.729	 -0.374	  1.103	 -0.091	 -0.013	  0.130	 -0.054	 -0.682	 -0.549
          0.096	  0.247	  1.242	  0.994	 -0.746	 -0.373	  1.119	 -0.096	 -0.006	  0.139	 -0.049	 -0.679	 -0.547
          0.098	  0.249	  1.240	  0.991	 -0.745	 -0.371	  1.117	 -0.102	 -0.006	  0.141	 -0.050	 -0.680	 -0.554
          0.100	  0.253	  1.251	  0.999	 -0.752	 -0.373	  1.125	 -0.114	 -0.006	  0.144	 -0.051	 -0.679	 -0.553
          0.102	  0.241	  1.250	  1.008	 -0.746	 -0.384	  1.129	 -0.112	 -0.001	  0.153	 -0.044	 -0.674	 -0.553
          0.104	  0.264	  1.278	  1.014	 -0.771	 -0.376	  1.147	 -0.124	  0.005	  0.161	 -0.040	 -0.667	 -0.551
          0.106	  0.255	  1.262	  1.008	 -0.758	 -0.377	  1.135	 -0.117	  0.019	  0.173	 -0.028	 -0.659	 -0.547
          0.108	  0.268	  1.257	  0.990	 -0.762	 -0.361	  1.123	 -0.113	  0.043	  0.195	 -0.010	 -0.638	 -0.535
          0.110	  0.268	  1.254	  0.987	 -0.762	 -0.359	  1.121	 -0.100	  0.068	  0.213	  0.007	 -0.625	 -0.532
          0.112	  0.268	  1.254	  0.987	 -0.762	 -0.358	  1.121	 -0.100	  0.074	  0.221	  0.011	 -0.622	 -0.534
          0.114	  0.274	  1.260	  0.986	 -0.767	 -0.356	  1.123	 -0.097	  0.095	  0.242	  0.026	 -0.612	 -0.530
          0.116	  0.284	  1.270	  0.985	 -0.778	 -0.350	  1.127	 -0.105	  0.101	  0.249	  0.029	 -0.611	 -0.535
          0.118	  0.288	  1.272	  0.984	 -0.780	 -0.348	  1.129	 -0.115	  0.106	  0.256	  0.028	 -0.620	 -0.539
          0.120	  0.297	  1.280	  0.983	 -0.789	 -0.343	  1.131	 -0.123	  0.117	  0.268	  0.029	 -0.629	 -0.540
          0.122	  0.312	  1.285	  0.973	 -0.799	 -0.331	  1.129	 -0.128	  0.125	  0.275	  0.034	 -0.634	 -0.549
          0.124	  0.302	  1.290	  0.989	 -0.797	 -0.343	  1.140	 -0.128	  0.143	  0.290	  0.039	 -0.634	 -0.546
          0.126	  0.311	  1.284	  0.974	 -0.797	 -0.332	  1.129	 -0.131	  0.159	  0.304	  0.046	 -0.638	 -0.546
          0.128	  0.320	  1.288	  0.968	 -0.803	 -0.324	  1.127	 -0.128	  0.179	  0.325	  0.062	 -0.625	 -0.535
          0.130	  0.323	  1.278	  0.956	 -0.801	 -0.317	  1.117	 -0.116	  0.200	  0.340	  0.077	 -0.614	 -0.526
          0.132	  0.333	  1.274	  0.941	 -0.803	 -0.304	  1.107	 -0.119	  0.216	  0.358	  0.091	 -0.606	 -0.522
          0.134	  0.324	  1.260	  0.937	 -0.792	 -0.306	  1.098	 -0.118	  0.232	  0.373	  0.099	 -0.600	 -0.512
          0.136	  0.349	  1.292	  0.944	 -0.821	 -0.297	  1.117	 -0.118	  0.246	  0.385	  0.104	 -0.592	 -0.509
          0.138	  0.357	  1.298	  0.942	 -0.828	 -0.292	  1.121	 -0.123	  0.255	  0.394	  0.106	 -0.589	 -0.516
          0.140	  0.361	  1.304	  0.944	 -0.833	 -0.291	  1.124	 -0.132	  0.258	  0.399	  0.105	 -0.590	 -0.521
          0.142	  0.370	  1.310	  0.939	 -0.840	 -0.284	  1.125	 -0.134	  0.265	  0.406	  0.108	 -0.593	 -0.523
          0.144	  0.366	  1.315	  0.950	 -0.841	 -0.292	  1.133	 -0.141	  0.273	  0.413	  0.110	 -0.594	 -0.526
          0.146	  0.386	  1.313	  0.927	 -0.850	 -0.271	  1.120	 -0.136	  0.293	  0.428	  0.120	 -0.591	 -0.527
          0.148	  0.391	  1.309	  0.918	 -0.850	 -0.264	  1.114	 -0.141	  0.310	  0.435	  0.126	 -0.587	 -0.525
          0.150	  0.399	  1.306	  0.907	 -0.853	 -0.254	  1.107	 -0.136	  0.323	  0.451	  0.136	 -0.581	 -0.526
          0.152	  0.393	  1.294	  0.900	 -0.844	 -0.253	  1.097	 -0.126	  0.337	  0.460	  0.141	 -0.575	 -0.523
          0.154	  0.395	  1.286	  0.891	 -0.841	 -0.248	  1.089	 -0.126	  0.352	  0.470	  0.149	 -0.569	 -0.522
          0.156	  0.410	  1.294	  0.884	 -0.853	 -0.237	  1.089	 -0.136	  0.353	  0.476	  0.151	 -0.569	 -0.521
          0.158	  0.425	  1.317	  0.891	 -0.871	 -0.233	  1.104	 -0.137	  0.363	  0.480	  0.151	 -0.568	 -0.515
          0.160	  0.421	  1.306	  0.884	 -0.865	 -0.231	  1.095	 -0.143	  0.364	  0.478	  0.147	 -0.571	 -0.522
          0.162	  0.427	  1.310	  0.883	 -0.869	 -0.228	  1.097	 -0.147	  0.364	  0.474	  0.142	 -0.575	 -0.527
          0.164	  0.426	  1.306	  0.878	 -0.866	 -0.226	  1.092	 -0.156	  0.365	  0.476	  0.139	 -0.579	 -0.529
          0.166	  0.430	  1.298	  0.868	 -0.865	 -0.218	  1.083	 -0.146	  0.376	  0.480	  0.143	 -0.580	 -0.525
          0.168	  0.438	  1.292	  0.855	 -0.865	 -0.208	  1.073	 -0.148	  0.381	  0.482	  0.145	 -0.584	 -0.526
          0.170	  0.445	  1.290	  0.845	 -0.868	 -0.200	  1.067	 -0.142	  0.392	  0.490	  0.152	 -0.584	 -0.523
          0.172	  0.447	  1.286	  0.840	 -0.866	 -0.197	  1.062	 -0.141	  0.394	  0.489	  0.151	 -0.584	 -0.527
          0.174	  0.451	  1.285	  0.834	 -0.868	 -0.192	  1.060	 -0.136	  0.398	  0.490	  0.154	 -0.581	 -0.525
          0.176	  0.450	  1.284	  0.835	 -0.868	 -0.193	  1.060	 -0.146	  0.382	  0.481	  0.145	 -0.583	 -0.522
          0.178	  0.454	  1.296	  0.842	 -0.875	 -0.195	  1.069	 -0.148	  0.374	  0.472	  0.141	 -0.586	 -0.523
          0.180	  0.449	  1.296	  0.848	 -0.874	 -0.200	  1.072	 -0.155	  0.364	  0.461	  0.129	 -0.589	 -0.528
          0.182	  0.447	  1.296	  0.849	 -0.872	 -0.202	  1.072	 -0.168	  0.351	  0.448	  0.125	 -0.590	 -0.532
          0.184	  0.442	  1.300	  0.858	 -0.872	 -0.208	  1.079	 -0.163	  0.346	  0.440	  0.118	 -0.595	 -0.537
          0.186	  0.442	  1.290	  0.849	 -0.866	 -0.204	  1.071	 -0.161	  0.336	  0.427	  0.107	 -0.600	 -0.541
          0.188	  0.422	  1.280	  0.859	 -0.852	 -0.217	  1.070	 -0.161	  0.323	  0.413	  0.100	 -0.602	 -0.542
          0.190	  0.425	  1.275	  0.850	 -0.851	 -0.212	  1.062	 -0.158	  0.316	  0.412	  0.102	 -0.600	 -0.539
          0.192	  0.409	  1.269	  0.861	 -0.839	 -0.226	  1.065	 -0.138	  0.309	  0.400	  0.100	 -0.606	 -0.538
          0.194	  0.409	  1.261	  0.852	 -0.836	 -0.221	  1.056	 -0.141	  0.293	  0.387	  0.093	 -0.608	 -0.540
          0.196	  0.416	  1.278	  0.862	 -0.848	 -0.223	  1.071	 -0.142	  0.276	  0.374	  0.086	 -0.605	 -0.539
          0.198	  0.400	  1.266	  0.867	 -0.833	 -0.234	  1.066	 -0.153	  0.240	  0.342	  0.069	 -0.617	 -0.550
          0.200	  0.396	  1.276	  0.880	 -0.836	 -0.242	  1.077	 -0.156	  0.224	  0.325	  0.055	 -0.621	 -0.547
          0.202	  0.386	  1.284	  0.899	 -0.835	 -0.257	  1.093	 -0.154	  0.207	  0.309	  0.044	 -0.623	 -0.540
          0.204	  0.374	  1.289	  0.915	 -0.832	 -0.271	  1.102	 -0.166	  0.179	  0.282	  0.024	 -0.634	 -0.545
          0.206	  0.371	  1.277	  0.905	 -0.824	 -0.267	  1.091	 -0.162	  0.165	  0.268	  0.021	 -0.631	 -0.542
          0.208	  0.354	  1.280	  0.926	 -0.818	 -0.286	  1.104	 -0.151	  0.157	  0.260	  0.018	 -0.629	 -0.534
          0.210	  0.353	  1.268	  0.914	 -0.811	 -0.281	  1.092	 -0.142	  0.140	  0.243	  0.015	 -0.629	 -0.536
          0.212	  0.340	  1.260	  0.920	 -0.800	 -0.290	  1.090	 -0.137	  0.123	  0.230	  0.007	 -0.639	 -0.536
          0.214	  0.340	  1.255	  0.914	 -0.797	 -0.287	  1.085	 -0.131	  0.108	  0.218	  0.001	 -0.641	 -0.532
          0.216	  0.337	  1.264	  0.928	 -0.801	 -0.294	  1.097	 -0.139	  0.079	  0.193	 -0.015	 -0.649	 -0.542
          0.218	  0.329	  1.272	  0.943	 -0.801	 -0.307	  1.108	 -0.141	  0.058	  0.174	 -0.029	 -0.662	 -0.551
          0.220	  0.317	  1.270	  0.954	 -0.793	 -0.319	  1.113	 -0.147	  0.035	  0.152	 -0.049	 -0.677	 -0.560
          0.222	  0.309	  1.270	  0.961	 -0.789	 -0.327	  1.116	 -0.151	  0.015	  0.129	 -0.059	 -0.682	 -0.561
          0.224	  0.298	  1.275	  0.978	 -0.786	 -0.340	  1.127	 -0.151	 -0.001	  0.116	 -0.067	 -0.684	 -0.562
          0.226	  0.298	  1.266	  0.968	 -0.782	 -0.336	  1.117	 -0.146	 -0.009	  0.108	 -0.068	 -0.686	 -0.558
          0.228	  0.283	  1.253	  0.970	 -0.768	 -0.344	  1.112	 -0.139	 -0.016	  0.096	 -0.075	 -0.688	 -0.557
          0.230	  0.274	  1.242	  0.969	 -0.758	 -0.348	  1.106	 -0.134	 -0.026	  0.086	 -0.079	 -0.686	 -0.554
          0.232	  0.285	  1.244	  0.959	 -0.765	 -0.337	  1.102	 -0.131	 -0.034	  0.080	 -0.081	 -0.682	 -0.552
          0.234	  0.266	  1.232	  0.968	 -0.749	 -0.351	  1.100	 -0.135	 -0.044	  0.069	 -0.088	 -0.685	 -0.553
          0.236	  0.271	  1.244	  0.974	 -0.758	 -0.351	  1.109	 -0.135	 -0.064	  0.057	 -0.101	 -0.693	 -0.561
          0.238	  0.272	  1.246	  0.974	 -0.760	 -0.351	  1.111	 -0.138	 -0.074	  0.044	 -0.108	 -0.699	 -0.565
          0.240	  0.260	  1.248	  0.988	 -0.754	 -0.363	  1.117	 -0.145	 -0.093	  0.029	 -0.120	 -0.708	 -0.571
          0.242	  0.256	  1.250	  0.995	 -0.752	 -0.369	  1.123	 -0.141	 -0.098	  0.023	 -0.124	 -0.709	 -0.568
          0.244	  0.258	  1.254	  0.997	 -0.755	 -0.370	  1.126	 -0.155	 -0.117	  0.004	 -0.138	 -0.721	 -0.572
          0.246	  0.256	  1.252	  0.997	 -0.754	 -0.370	  1.124	 -0.147	 -0.114	  0.004	 -0.137	 -0.719	 -0.571
          0.248	  0.252	  1.246	  0.996	 -0.750	 -0.372	  1.121	 -0.139	 -0.119	 -0.002	 -0.136	 -0.716	 -0.565
          0.250	  0.243	  1.228	  0.986	 -0.737	 -0.370	  1.107	 -0.131	 -0.117	  0.002	 -0.134	 -0.714	 -0.562
          0.252	  0.242	  1.230	  0.986	 -0.736	 -0.372	  1.109	 -0.129	 -0.116	 -0.001	 -0.137	 -0.713	 -0.566
          0.254	  0.244	  1.230	  0.986	 -0.737	 -0.370	  1.108	 -0.124	 -0.115	  0.002	 -0.133	 -0.711	 -0.560
          0.256	  0.240	  1.230	  0.991	 -0.736	 -0.376	  1.111	 -0.131	 -0.128	 -0.011	 -0.144	 -0.717	 -0.568
          0.258	  0.247	  1.238	  0.991	 -0.743	 -0.371	  1.115	 -0.138	 -0.140	 -0.021	 -0.154	 -0.724	 -0.573
          0.260	  0.240	  1.238	  0.999	 -0.740	 -0.380	  1.119	 -0.149	 -0.149	 -0.027	 -0.162	 -0.733	 -0.575
          0.262	  0.233	  1.232	  0.998	 -0.733	 -0.383	  1.115	 -0.147	 -0.157	 -0.034	 -0.166	 -0.740	 -0.582
          0.264	  0.250	  1.252	  1.002	 -0.750	 -0.376	  1.127	 -0.149	 -0.158	 -0.032	 -0.165	 -0.737	 -0.579
          0.266	  0.234	  1.235	  1.002	 -0.735	 -0.384	  1.118	 -0.146	 -0.155	 -0.035	 -0.165	 -0.739	 -0.582
          0.268	  0.236	  1.234	  1.000	 -0.736	 -0.381	  1.117	 -0.145	 -0.152	 -0.038	 -0.170	 -0.745	 -0.585
          0.270	  0.240	  1.224	  0.984	 -0.733	 -0.371	  1.105	 -0.133	 -0.147	 -0.032	 -0.164	 -0.743	 -0.577
          0.272	  0.227	  1.216	  0.990	 -0.722	 -0.382	  1.103	 -0.124	 -0.148	 -0.032	 -0.164	 -0.739	 -0.572
          0.274	  0.235	  1.217	  0.983	 -0.727	 -0.373	  1.100	 -0.127	 -0.138	 -0.028	 -0.160	 -0.735	 -0.570
          0.276	  0.235	  1.221	  0.986	 -0.729	 -0.375	  1.103	 -0.126	 -0.146	 -0.030	 -0.163	 -0.733	 -0.568
          0.278	  0.233	  1.222	  0.990	 -0.728	 -0.379	  1.106	 -0.132	 -0.151	 -0.034	 -0.165	 -0.732	 -0.570
          0.280	  0.235	  1.230	  0.996	 -0.733	 -0.381	  1.113	 -0.145	 -0.169	 -0.046	 -0.176	 -0.739	 -0.575
          0.282	  0.226	  1.237	  1.011	 -0.732	 -0.393	  1.124	 -0.138	 -0.164	 -0.043	 -0.172	 -0.730	 -0.569
          0.284	  0.232	  1.240	  1.008	 -0.736	 -0.389	  1.124	 -0.147	 -0.174	 -0.051	 -0.179	 -0.738	 -0.571
          0.286	  0.234	  1.237	  1.003	 -0.736	 -0.384	  1.120	 -0.139	 -0.171	 -0.044	 -0.173	 -0.740	 -0.569
          0.288	  0.220	  1.230	  1.010	 -0.726	 -0.396	  1.121	 -0.135	 -0.165	 -0.041	 -0.169	 -0.738	 -0.571
          0.290	  0.231	  1.229	  0.998	 -0.731	 -0.384	  1.114	 -0.132	 -0.158	 -0.037	 -0.165	 -0.738	 -0.569
          0.292	  0.225	  1.226	  1.002	 -0.726	 -0.388	  1.114	 -0.126	 -0.159	 -0.040	 -0.169	 -0.741	 -0.572
          0.294	  0.217	  1.218	  0.999	 -0.718	 -0.391	  1.109	 -0.125	 -0.156	 -0.036	 -0.160	 -0.736	 -0.570
          0.296	  0.230	  1.236	  1.006	 -0.733	 -0.388	  1.121	 -0.132	 -0.163	 -0.040	 -0.166	 -0.733	 -0.569
          0.298	  0.233	  1.234	  1.001	 -0.734	 -0.384	  1.117	 -0.134	 -0.164	 -0.040	 -0.167	 -0.736	 -0.572
          0.300	  0.224	  1.240	  1.016	 -0.732	 -0.396	  1.127	 -0.144	 -0.173	 -0.045	 -0.172	 -0.742	 -0.578
          0.302	  0.230	  1.246	  1.016	 -0.737	 -0.393	  1.131	 -0.148	 -0.180	 -0.051	 -0.176	 -0.747	 -0.581
          0.304	  0.225	  1.236	  1.012	 -0.731	 -0.394	  1.125	 -0.157	 -0.184	 -0.054	 -0.183	 -0.750	 -0.579
          0.306	  0.232	  1.250	  1.018	 -0.742	 -0.393	  1.133	 -0.143	 -0.172	 -0.045	 -0.173	 -0.742	 -0.570
          0.308	  0.232	  1.250	  1.017	 -0.741	 -0.392	  1.133	 -0.151	 -0.177	 -0.048	 -0.172	 -0.742	 -0.567
          0.310	  0.220	  1.230	  1.011	 -0.725	 -0.396	  1.121	 -0.142	 -0.171	 -0.043	 -0.165	 -0.732	 -0.559
          0.312	  0.227	  1.234	  1.007	 -0.731	 -0.390	  1.121	 -0.136	 -0.170	 -0.042	 -0.162	 -0.728	 -0.554
          0.314	  0.225	  1.233	  1.008	 -0.730	 -0.392	  1.121	 -0.133	 -0.169	 -0.038	 -0.155	 -0.722	 -0.548
          0.316	  0.224	  1.244	  1.020	 -0.735	 -0.398	  1.133	 -0.129	 -0.172	 -0.040	 -0.157	 -0.716	 -0.549
          0.318	  0.225	  1.248	  1.024	 -0.737	 -0.400	  1.136	 -0.143	 -0.181	 -0.050	 -0.166	 -0.721	 -0.555
          0.320	  0.236	  1.264	  1.028	 -0.751	 -0.396	  1.147	 -0.149	 -0.191	 -0.055	 -0.174	 -0.729	 -0.559
          0.322	  0.230	  1.258	  1.028	 -0.744	 -0.399	  1.143	 -0.149	 -0.194	 -0.061	 -0.177	 -0.733	 -0.562
          0.324	  0.212	  1.248	  1.036	 -0.731	 -0.411	  1.142	 -0.158	 -0.207	 -0.071	 -0.190	 -0.740	 -0.570
          0.326	  0.231	  1.258	  1.027	 -0.745	 -0.398	  1.143	 -0.148	 -0.194	 -0.062	 -0.177	 -0.728	 -0.568
          0.328	  0.223	  1.252	  1.030	 -0.738	 -0.404	  1.141	 -0.143	 -0.197	 -0.062	 -0.177	 -0.738	 -0.566
          0.330	  0.225	  1.238	  1.014	 -0.732	 -0.395	  1.125	 -0.141	 -0.194	 -0.063	 -0.179	 -0.748	 -0.567
          0.332	  0.231	  1.236	  1.006	 -0.734	 -0.388	  1.121	 -0.131	 -0.187	 -0.056	 -0.172	 -0.739	 -0.562
          0.334	  0.211	  1.228	  1.017	 -0.720	 -0.403	  1.123	 -0.127	 -0.181	 -0.052	 -0.164	 -0.734	 -0.556
          0.336	  0.216	  1.240	  1.024	 -0.729	 -0.404	  1.132	 -0.138	 -0.197	 -0.062	 -0.172	 -0.733	 -0.556
          0.338	  0.224	  1.238	  1.016	 -0.732	 -0.396	  1.127	 -0.145	 -0.197	 -0.065	 -0.176	 -0.735	 -0.556
          0.340	  0.217	  1.253	  1.036	 -0.736	 -0.409	  1.145	 -0.147	 -0.207	 -0.073	 -0.178	 -0.731	 -0.555
          0.342	  0.226	  1.259	  1.034	 -0.743	 -0.404	  1.147	 -0.162	 -0.214	 -0.077	 -0.182	 -0.725	 -0.562
          0.344	  0.218	  1.263	  1.044	 -0.741	 -0.413	  1.153	 -0.158	 -0.224	 -0.082	 -0.187	 -0.731	 -0.563
          0.346	  0.221	  1.262	  1.042	 -0.742	 -0.410	  1.152	 -0.163	 -0.220	 -0.083	 -0.190	 -0.737	 -0.558
          0.348	  0.216	  1.248	  1.033	 -0.732	 -0.409	  1.142	 -0.150	 -0.218	 -0.086	 -0.189	 -0.739	 -0.553
          0.350	  0.213	  1.247	  1.034	 -0.730	 -0.410	  1.141	 -0.150	 -0.220	 -0.083	 -0.183	 -0.731	 -0.547
          0.352	  0.204	  1.238	  1.032	 -0.722	 -0.413	  1.135	 -0.140	 -0.205	 -0.074	 -0.177	 -0.728	 -0.549
          0.354	  0.203	  1.225	  1.022	 -0.715	 -0.409	  1.123	 -0.144	 -0.210	 -0.076	 -0.176	 -0.732	 -0.550
          0.356	  0.213	  1.245	  1.032	 -0.730	 -0.409	  1.139	 -0.141	 -0.209	 -0.072	 -0.178	 -0.730	 -0.552
          0.358	  0.221	  1.245	  1.024	 -0.733	 -0.402	  1.135	 -0.151	 -0.212	 -0.079	 -0.185	 -0.741	 -0.564
          0.360	  0.212	  1.246	  1.034	 -0.729	 -0.411	  1.140	 -0.157	 -0.229	 -0.089	 -0.198	 -0.750	 -0.570
          0.362	  0.207	  1.246	  1.040	 -0.728	 -0.416	  1.143	 -0.160	 -0.233	 -0.097	 -0.203	 -0.752	 -0.565
          0.364	  0.210	  1.254	  1.043	 -0.733	 -0.416	  1.149	 -0.165	 -0.239	 -0.101	 -0.207	 -0.757	 -0.567
          0.366	  0.213	  1.241	  1.028	 -0.728	 -0.406	  1.135	 -0.159	 -0.233	 -0.095	 -0.200	 -0.755	 -0.562
          0.368	  0.202	  1.237	  1.034	 -0.720	 -0.416	  1.136	 -0.155	 -0.234	 -0.097	 -0.200	 -0.752	 -0.561
          0.370	  0.207	  1.221	  1.014	 -0.714	 -0.404	  1.118	 -0.152	 -0.227	 -0.091	 -0.191	 -0.744	 -0.551
          0.372	  0.206	  1.227	  1.021	 -0.717	 -0.407	  1.124	 -0.144	 -0.224	 -0.089	 -0.187	 -0.738	 -0.547
          0.374	  0.209	  1.229	  1.019	 -0.720	 -0.405	  1.125	 -0.145	 -0.222	 -0.087	 -0.184	 -0.731	 -0.543
          0.376	  0.211	  1.234	  1.022	 -0.723	 -0.406	  1.129	 -0.149	 -0.234	 -0.095	 -0.190	 -0.732	 -0.542
          0.378	  0.214	  1.246	  1.030	 -0.730	 -0.407	  1.139	 -0.164	 -0.238	 -0.098	 -0.197	 -0.733	 -0.543
          0.380	  0.220	  1.260	  1.040	 -0.741	 -0.410	  1.151	 -0.158	 -0.241	 -0.101	 -0.200	 -0.734	 -0.539
