   Elapsed time	   ECG1	   ECG2
          0.250	 -0.174	  0.020
          0.252	 -0.176	  0.021
          0.254	 -0.176	  0.020
          0.256	 -0.175	  0.020
          0.258	 -0.175	  0.019
          0.260	 -0.176	  0.019
          0.262	 -0.175	  0.019
          0.264	 -0.174	  0.020
          0.266	 -0.173	  0.021
          0.268	 -0.173	  0.021
          0.270	 -0.175	  0.021
          0.272	 -0.177	  0.022
          0.274	 -0.177	  0.021
          0.276	 -0.178	  0.020
          0.278	 -0.177	  0.019
          0.280	 -0.176	  0.019
          0.282	 -0.176	  0.019
          0.284	 -0.175	  0.019
          0.286	 -0.176	  0.021
          0.288	 -0.178	  0.022
          0.290	 -0.176	  0.025
          0.292	 -0.174	  0.028
          0.294	 -0.173	  0.029
          0.296	 -0.172	  0.032
          0.298	 -0.171	  0.035
          0.300	 -0.170	  0.037
          0.302	 -0.169	  0.041
          0.304	 -0.166	  0.044
          0.306	 -0.167	  0.048
          0.308	 -0.168	  0.051
          0.310	 -0.167	  0.054
          0.312	 -0.166	  0.059
          0.314	 -0.166	  0.063
          0.316	 -0.166	  0.068
          0.318	 -0.163	  0.071
          0.320	 -0.159	  0.074
          0.322	 -0.157	  0.080
          0.324	 -0.154	  0.085
          0.326	 -0.151	  0.089
          0.328	 -0.148	  0.095
          0.330	 -0.145	  0.100
          0.332	 -0.142	  0.105
          0.334	 -0.137	  0.112
          0.336	 -0.131	  0.117
          0.338	 -0.129	  0.123
          0.340	 -0.126	  0.129
          0.342	 -0.122	  0.134
          0.344	 -0.119	  0.139
          0.346	 -0.116	  0.141
          0.348	 -0.112	  0.144
          0.350	 -0.106	  0.148
          0.352	 -0.101	  0.152
          0.354	 -0.095	  0.156
          0.356	 -0.089	  0.160
          0.358	 -0.083	  0.166
          0.360	 -0.077	  0.171
          0.362	 -0.069	  0.175
          0.364	 -0.061	  0.180
          0.366	 -0.056	  0.185
          0.368	 -0.050	  0.190
          0.370	 -0.044	  0.192
          0.372	 -0.039	  0.196
          0.374	 -0.035	  0.196
          0.376	 -0.032	  0.197
          0.378	 -0.028	  0.197
          0.380	 -0.024	  0.197
          0.382	 -0.019	  0.195
          0.384	 -0.015	  0.191
          0.386	 -0.011	  0.189
          0.388	 -0.005	  0.186
          0.390	 -0.002	  0.184
          0.392	  0.003	  0.182
          0.394	  0.006	  0.182
          0.396	  0.010	  0.180
          0.398	  0.015	  0.175
          0.400	  0.018	  0.170
          0.402	  0.018	  0.164
          0.404	  0.018	  0.158
          0.406	  0.018	  0.150
          0.408	  0.018	  0.143
          0.410	  0.015	  0.138
          0.412	  0.012	  0.132
          0.414	  0.013	  0.129
          0.416	  0.013	  0.127
          0.418	  0.009	  0.123
          0.420	  0.007	  0.121
          0.422	  0.005	  0.117
          0.424	  0.004	  0.114
          0.426	  0.002	  0.108
          0.428	 -0.001	  0.103
          0.430	 -0.009	  0.099
          0.432	 -0.016	  0.094
          0.434	 -0.024	  0.091
          0.436	 -0.031	  0.088
          0.438	 -0.036	  0.085
          0.440	 -0.043	  0.082
          0.442	 -0.046	  0.081
          0.444	 -0.050	  0.079
          0.446	 -0.053	  0.076
          0.448	 -0.056	  0.074
          0.450	 -0.060	  0.075
          0.452	 -0.064	  0.076
          0.454	 -0.067	  0.076
          0.456	 -0.070	  0.076
          0.458	 -0.076	  0.075
          0.460	 -0.083	  0.074
          0.462	 -0.084	  0.074
          0.464	 -0.085	  0.073
          0.466	 -0.089	  0.073
          0.468	 -0.092	  0.071
          0.470	 -0.097	  0.071
          0.472	 -0.100	  0.071
          0.474	 -0.101	  0.066
          0.476	 -0.102	  0.061
          0.478	 -0.102	  0.059
          0.480	 -0.102	  0.058
          0.482	 -0.102	  0.058
          0.484	 -0.102	  0.058
          0.486	 -0.101	  0.059
          0.488	 -0.102	  0.060
          0.490	 -0.100	  0.059
          0.492	 -0.099	  0.059
          0.494	 -0.100	  0.057
          0.496	 -0.102	  0.053
          0.498	 -0.103	  0.055
          0.500	 -0.104	  0.057
          0.502	 -0.107	  0.055
          0.504	 -0.110	  0.053
          0.506	 -0.112	  0.051
          0.508	 -0.115	  0.050
          0.510	 -0.113	  0.044
          0.512	 -0.111	  0.040
          0.514	 -0.109	  0.038
          0.516	 -0.106	  0.038
          0.518	 -0.106	  0.044
          0.520	 -0.106	  0.050
          0.522	 -0.108	  0.057
          0.524	 -0.111	  0.064
          0.526	 -0.111	  0.063
          0.528	 -0.111	  0.062
          0.530	 -0.114	  0.058
          0.532	 -0.116	  0.052
          0.534	 -0.121	  0.048
          0.536	 -0.126	  0.042
          0.538	 -0.130	  0.040
          0.540	 -0.132	  0.038
          0.542	 -0.132	  0.042
          0.544	 -0.131	  0.046
          0.546	 -0.122	  0.049
          0.548	 -0.114	  0.052
          0.550	 -0.110	  0.053
          0.552	 -0.105	  0.055
          0.554	 -0.105	  0.052
          0.556	 -0.105	  0.051
          0.558	 -0.111	  0.049
          0.560	 -0.117	  0.048
          0.562	 -0.122	  0.045
          0.564	 -0.128	  0.044
          0.566	 -0.128	  0.043
          0.568	 -0.128	  0.041
          0.570	 -0.122	  0.041
          0.572	 -0.117	  0.040
          0.574	 -0.112	  0.037
          0.576	 -0.107	  0.034
          0.578	 -0.109	  0.032
          0.580	 -0.110	  0.029
          0.582	 -0.111	  0.029
          0.584	 -0.111	  0.026
          0.586	 -0.114	  0.026
          0.588	 -0.117	  0.028
          0.590	 -0.117	  0.028
          0.592	 -0.117	  0.028
          0.594	 -0.117	  0.025
          0.596	 -0.117	  0.022
          0.598	 -0.118	  0.024
          0.600	 -0.118	  0.024
          0.602	 -0.118	  0.029
          0.604	 -0.118	  0.033
          0.606	 -0.121	  0.037
          0.608	 -0.122	  0.042
          0.610	 -0.125	  0.041
          0.612	 -0.127	  0.040
          0.614	 -0.128	  0.034
          0.616	 -0.129	  0.026
          0.618	 -0.128	  0.019
          0.620	 -0.128	  0.012
          0.622	 -0.130	  0.008
          0.624	 -0.132	  0.004
          0.626	 -0.131	  0.004
          0.628	 -0.130	  0.005
          0.630	 -0.125	  0.008
          0.632	 -0.120	  0.011
          0.634	 -0.113	  0.015
          0.636	 -0.106	  0.018
          0.638	 -0.107	  0.019
          0.640	 -0.108	  0.019
          0.642	 -0.114	  0.018
          0.644	 -0.119	  0.015
          0.646	 -0.125	  0.013
          0.648	 -0.131	  0.010
          0.650	 -0.134	  0.009
          0.652	 -0.137	  0.007
          0.654	 -0.137	  0.009
          0.656	 -0.138	  0.011
          0.658	 -0.134	  0.018
          0.660	 -0.130	  0.025
          0.662	 -0.124	  0.029
          0.664	 -0.119	  0.033
          0.666	 -0.119	  0.030
          0.668	 -0.120	  0.029
          0.670	 -0.123	  0.024
          0.672	 -0.126	  0.018
          0.674	 -0.131	  0.015
          0.676	 -0.134	  0.013
          0.678	 -0.138	  0.011
          0.680	 -0.140	  0.010
          0.682	 -0.136	  0.009
          0.684	 -0.133	  0.007
          0.686	 -0.126	  0.008
          0.688	 -0.118	  0.008
          0.690	 -0.114	  0.010
          0.692	 -0.110	  0.013
          0.694	 -0.111	  0.015
          0.696	 -0.114	  0.015
          0.698	 -0.117	  0.016
          0.700	 -0.120	  0.015
          0.702	 -0.124	  0.015
          0.704	 -0.129	  0.013
          0.706	 -0.131	  0.011
          0.708	 -0.133	  0.010
          0.710	 -0.133	  0.007
          0.712	 -0.133	  0.004
          0.714	 -0.132	  0.004
          0.716	 -0.131	  0.002
          0.718	 -0.128	  0.002
          0.720	 -0.125	  0.001
          0.722	 -0.125	  0.001
          0.724	 -0.125	  0.001
          0.726	 -0.124	  0.002
          0.728	 -0.124	  0.003
          0.730	 -0.127	  0.001
          0.732	 -0.131	 -0.001
          0.734	 -0.133	 -0.001
          0.736	 -0.136	 -0.003
          0.738	 -0.136	 -0.003
          0.740	 -0.135	 -0.004
          0.742	 -0.135	 -0.004
          0.744	 -0.137	 -0.004
          0.746	 -0.137	 -0.004
          0.748	 -0.136	 -0.005
          0.750	 -0.136	 -0.004
          0.752	 -0.136	 -0.003
          0.754	 -0.133	 -0.003
          0.756	 -0.130	 -0.003
          0.758	 -0.133	 -0.003
          0.760	 -0.136	 -0.003
          0.762	 -0.137	 -0.003
          0.764	 -0.138	 -0.003
          0.766	 -0.138	 -0.004
          0.768	 -0.138	 -0.004
          0.770	 -0.138	 -0.002
          0.772	 -0.138	  0.001
          0.774	 -0.135	 -0.002
          0.776	 -0.131	 -0.004
          0.778	 -0.129	 -0.004
          0.780	 -0.128	 -0.004
          0.782	 -0.126	 -0.006
          0.784	 -0.126	 -0.007
          0.786	 -0.128	 -0.009
          0.788	 -0.130	 -0.010
          0.790	 -0.131	 -0.011
          0.792	 -0.132	 -0.011
          0.794	 -0.132	 -0.011
          0.796	 -0.132	 -0.011
          0.798	 -0.131	 -0.009
          0.800	 -0.130	 -0.007
          0.802	 -0.130	 -0.008
          0.804	 -0.131	 -0.009
          0.806	 -0.131	 -0.009
          0.808	 -0.132	 -0.009
          0.810	 -0.131	 -0.010
          0.812	 -0.131	 -0.011
          0.814	 -0.131	 -0.011
          0.816	 -0.130	 -0.013
          0.818	 -0.129	 -0.012
          0.820	 -0.128	 -0.011
          0.822	 -0.126	 -0.010
          0.824	 -0.125	 -0.009
          0.826	 -0.124	 -0.008
          0.828	 -0.122	 -0.006
          0.830	 -0.122	 -0.006
          0.832	 -0.121	 -0.005
          0.834	 -0.122	 -0.005
          0.836	 -0.122	 -0.006
          0.838	 -0.121	 -0.007
          0.840	 -0.120	 -0.009
          0.842	 -0.120	 -0.008
          0.844	 -0.120	 -0.007
          0.846	 -0.118	 -0.008
          0.848	 -0.117	 -0.009
          0.850	 -0.119	 -0.007
          0.852	 -0.120	 -0.007
          0.854	 -0.119	 -0.007
          0.856	 -0.119	 -0.007
          0.858	 -0.118	 -0.007
          0.860	 -0.117	 -0.006
          0.862	 -0.118	 -0.006
          0.864	 -0.119	 -0.005
          0.866	 -0.120	 -0.005
          0.868	 -0.121	 -0.005
          0.870	 -0.121	 -0.005
          0.872	 -0.122	 -0.005
          0.874	 -0.120	 -0.004
          0.876	 -0.120	 -0.003
          0.878	 -0.120	 -0.003
          0.880	 -0.119	 -0.003
          0.882	 -0.119	 -0.003
          0.884	 -0.120	 -0.003
          0.886	 -0.121	 -0.002
          0.888	 -0.122	  0.000
          0.890	 -0.122	  0.000
          0.892	 -0.122	  0.000
          0.894	 -0.120	  0.001
          0.896	 -0.119	  0.001
          0.898	 -0.119	  0.000
          0.900	 -0.119	 -0.002
          0.902	 -0.119	 -0.002
          0.904	 -0.119	 -0.002
          0.906	 -0.120	 -0.003
          0.908	 -0.121	 -0.004
          0.910	 -0.120	 -0.005
          0.912	 -0.120	 -0.006
          0.914	 -0.120	 -0.007
          0.916	 -0.120	 -0.007
          0.918	 -0.119	 -0.007
          0.920	 -0.118	 -0.007
          0.922	 -0.117	 -0.007
          0.924	 -0.117	 -0.007
          0.926	 -0.116	 -0.005
          0.928	 -0.115	 -0.004
          0.930	 -0.113	 -0.003
          0.932	 -0.111	 -0.002
          0.934	 -0.110	  0.001
          0.936	 -0.110	  0.003
          0.938	 -0.113	  0.003
          0.940	 -0.115	  0.003
          0.942	 -0.116	  0.002
          0.944	 -0.117	  0.001
          0.946	 -0.115	  0.002
          0.948	 -0.115	  0.003
          0.950	 -0.115	  0.004
          0.952	 -0.114	  0.004
          0.954	 -0.114	  0.005
          0.956	 -0.114	  0.006
          0.958	 -0.114	  0.007
          0.960	 -0.114	  0.009
          0.962	 -0.112	  0.013
          0.964	 -0.110	  0.018
          0.966	 -0.109	  0.021
          0.968	 -0.109	  0.025
          0.970	 -0.108	  0.026
          0.972	 -0.107	  0.029
          0.974	 -0.107	  0.032
          0.976	 -0.107	  0.035
          0.978	 -0.106	  0.042
          0.980	 -0.105	  0.048
          0.982	 -0.101	  0.051
          0.984	 -0.096	  0.054
          0.986	 -0.092	  0.058
          0.988	 -0.089	  0.061
          0.990	 -0.085	  0.065
          0.992	 -0.081	  0.069
          0.994	 -0.081	  0.073
          0.996	 -0.080	  0.077
          0.998	 -0.076	  0.078
          1.000	 -0.072	  0.079
          1.002	 -0.070	  0.076
          1.004	 -0.069	  0.074
          1.006	 -0.066	  0.072
          1.008	 -0.062	  0.070
          1.010	 -0.059	  0.065
          1.012	 -0.056	  0.060
          1.014	 -0.052	  0.057
          1.016	 -0.049	  0.054
          1.018	 -0.044	  0.053
          1.020	 -0.041	  0.053
          1.022	 -0.038	  0.052
          1.024	 -0.036	  0.052
          1.026	 -0.034	  0.053
          1.028	 -0.031	  0.053
          1.030	 -0.035	  0.053
          1.032	 -0.038	  0.053
          1.034	 -0.042	  0.051
          1.036	 -0.046	  0.049
          1.038	 -0.051	  0.046
          1.040	 -0.057	  0.044
          1.042	 -0.059	  0.041
          1.044	 -0.062	  0.037
          1.046	 -0.064	  0.035
          1.048	 -0.064	  0.031
          1.050	 -0.063	  0.030
          1.052	 -0.061	  0.029
          1.054	 -0.058	  0.029
          1.056	 -0.055	  0.029
          1.058	 -0.058	  0.028
          1.060	 -0.061	  0.028
          1.062	 -0.062	  0.028
          1.064	 -0.063	  0.029
          1.066	 -0.067	  0.030
          1.068	 -0.070	  0.031
          1.070	 -0.071	  0.032
          1.072	 -0.073	  0.034
          1.074	 -0.075	  0.032
          1.076	 -0.077	  0.030
          1.078	 -0.079	  0.029
          1.080	 -0.080	  0.029
          1.082	 -0.078	  0.028
          1.084	 -0.076	  0.028
          1.086	 -0.077	  0.028
          1.088	 -0.078	  0.028
          1.090	 -0.078	  0.028
          1.092	 -0.077	  0.028
          1.094	 -0.080	  0.026
          1.096	 -0.082	  0.026
          1.098	 -0.083	  0.029
          1.100	 -0.083	  0.031
          1.102	 -0.083	  0.031
          1.104	 -0.083	  0.030
          1.106	 -0.084	  0.032
          1.108	 -0.085	  0.033
          1.110	 -0.083	  0.032
          1.112	 -0.082	  0.029
          1.114	 -0.080	  0.031
          1.116	 -0.077	  0.033
          1.118	 -0.077	  0.035
          1.120	 -0.077	  0.039
          1.122	 -0.079	  0.049
          1.124	 -0.079	  0.057
          1.126	 -0.077	  0.065
          1.128	 -0.074	  0.072
          1.130	 -0.071	  0.084
          1.132	 -0.068	  0.095
          1.134	 -0.066	  0.107
          1.136	 -0.065	  0.120
          1.138	 -0.065	  0.136
          1.140	 -0.065	  0.151
          1.142	 -0.063	  0.176
          1.144	 -0.061	  0.201
          1.146	 -0.056	  0.241
          1.148	 -0.050	  0.281
          1.150	 -0.043	  0.339
          1.152	 -0.036	  0.397
          1.154	 -0.026	  0.456
          1.156	 -0.018	  0.515
          1.158	 -0.008	  0.567
          1.160	  0.002	  0.618
          1.162	  0.013	  0.635
          1.164	  0.026	  0.652
          1.166	  0.042	  0.654
          1.168	  0.059	  0.656
          1.170	  0.087	  0.631
          1.172	  0.116	  0.606
          1.174	  0.158	  0.564
          1.176	  0.200	  0.520
          1.178	  0.256	  0.477
          1.180	  0.311	  0.435
          1.182	  0.365	  0.401
          1.184	  0.418	  0.366
          1.186	  0.459	  0.343
          1.188	  0.499	  0.319
          1.190	  0.513	  0.287
          1.192	  0.527	  0.257
          1.194	  0.522	  0.226
          1.196	  0.517	  0.196
          1.198	  0.495	  0.166
          1.200	  0.473	  0.134
          1.202	  0.432	  0.110
          1.204	  0.392	  0.085
          1.206	  0.354	  0.068
          1.208	  0.317	  0.051
          1.210	  0.284	  0.041
          1.212	  0.251	  0.032
          1.214	  0.228	  0.025
          1.216	  0.204	  0.018
          1.218	  0.173	  0.011
          1.220	  0.142	  0.005
          1.222	  0.112	 -0.001
          1.224	  0.081	 -0.006
          1.226	  0.050	 -0.011
          1.228	  0.020	 -0.015
          1.230	 -0.003	 -0.020
          1.232	 -0.025	 -0.025
          1.234	 -0.037	 -0.029
          1.236	 -0.050	 -0.031
          1.238	 -0.059	 -0.034
          1.240	 -0.068	 -0.035
          1.242	 -0.074	 -0.039
          1.244	 -0.080	 -0.043
          1.246	 -0.086	 -0.048
          1.248	 -0.091	 -0.051
          1.250	 -0.096	 -0.056
          1.252	 -0.099	 -0.059
          1.254	 -0.104	 -0.061
          1.256	 -0.111	 -0.065
          1.258	 -0.113	 -0.066
          1.260	 -0.116	 -0.068
          1.262	 -0.117	 -0.067
          1.264	 -0.118	 -0.067
          1.266	 -0.122	 -0.069
          1.268	 -0.126	 -0.070
          1.270	 -0.130	 -0.071
          1.272	 -0.132	 -0.073
          1.274	 -0.134	 -0.074
          1.276	 -0.137	 -0.075
          1.278	 -0.139	 -0.076
          1.280	 -0.142	 -0.077
          1.282	 -0.144	 -0.080
          1.284	 -0.145	 -0.083
          1.286	 -0.146	 -0.084
          1.288	 -0.146	 -0.085
          1.290	 -0.145	 -0.085
          1.292	 -0.145	 -0.084
          1.294	 -0.148	 -0.084
          1.296	 -0.151	 -0.084
          1.298	 -0.153	 -0.084
          1.300	 -0.154	 -0.083
          1.302	 -0.155	 -0.084
          1.304	 -0.158	 -0.085
          1.306	 -0.160	 -0.084
          1.308	 -0.162	 -0.083
          1.310	 -0.160	 -0.083
          1.312	 -0.159	 -0.083
          1.314	 -0.159	 -0.084
          1.316	 -0.160	 -0.085
          1.318	 -0.160	 -0.084
          1.320	 -0.159	 -0.084
          1.322	 -0.158	 -0.083
          1.324	 -0.156	 -0.083
          1.326	 -0.154	 -0.080
          1.328	 -0.151	 -0.076
          1.330	 -0.151	 -0.074
          1.332	 -0.151	 -0.072
          1.334	 -0.151	 -0.069
          1.336	 -0.151	 -0.065
          1.338	 -0.149	 -0.065
          1.340	 -0.148	 -0.064
          1.342	 -0.148	 -0.065
          1.344	 -0.147	 -0.065
          1.346	 -0.146	 -0.065
          1.348	 -0.144	 -0.064
          1.350	 -0.144	 -0.062
          1.352	 -0.143	 -0.061
          1.354	 -0.142	 -0.059
          1.356	 -0.141	 -0.058
          1.358	 -0.141	 -0.058
          1.360	 -0.140	 -0.057
          1.362	 -0.137	 -0.057
          1.364	 -0.135	 -0.057
          1.366	 -0.134	 -0.058
          1.368	 -0.134	 -0.058
          1.370	 -0.135	 -0.056
          1.372	 -0.136	 -0.054
          1.374	 -0.135	 -0.054
          1.376	 -0.134	 -0.054
          1.378	 -0.133	 -0.053
          1.380	 -0.132	 -0.051
          1.382	 -0.128	 -0.050
          1.384	 -0.124	 -0.048
          1.386	 -0.125	 -0.046
          1.388	 -0.126	 -0.043
          1.390	 -0.124	 -0.041
          1.392	 -0.124	 -0.038
          1.394	 -0.123	 -0.036
          1.396	 -0.122	 -0.034
          1.398	 -0.122	 -0.031
          1.400	 -0.121	 -0.028
          1.402	 -0.121	 -0.025
          1.404	 -0.121	 -0.022
          1.406	 -0.121	 -0.018
          1.408	 -0.121	 -0.015
          1.410	 -0.119	 -0.011
          1.412	 -0.117	 -0.009
          1.414	 -0.115	 -0.006
          1.416	 -0.112	 -0.003
          1.418	 -0.107	  0.003
          1.420	 -0.103	  0.009
          1.422	 -0.102	  0.013
          1.424	 -0.100	  0.018
          1.426	 -0.096	  0.024
          1.428	 -0.091	  0.029
          1.430	 -0.086	  0.034
          1.432	 -0.082	  0.039
          1.434	 -0.077	  0.045
          1.436	 -0.073	  0.052
          1.438	 -0.069	  0.059
          1.440	 -0.065	  0.065
          1.442	 -0.060	  0.071
          1.444	 -0.055	  0.077
          1.446	 -0.049	  0.082
          1.448	 -0.043	  0.086
          1.450	 -0.040	  0.092
          1.452	 -0.035	  0.099
          1.454	 -0.029	  0.105
          1.456	 -0.024	  0.112
          1.458	 -0.018	  0.118
          1.460	 -0.013	  0.126
          1.462	 -0.009	  0.131
          1.464	 -0.003	  0.137
          1.466	  0.003	  0.143
          1.468	  0.009	  0.149
          1.470	  0.016	  0.153
          1.472	  0.024	  0.158
          1.474	  0.029	  0.161
          1.476	  0.035	  0.164
          1.478	  0.041	  0.165
          1.480	  0.046	  0.167
          1.482	  0.052	  0.166
          1.484	  0.059	  0.165
          1.486	  0.065	  0.166
          1.488	  0.071	  0.166
          1.490	  0.074	  0.164
          1.492	  0.077	  0.161
          1.494	  0.082	  0.159
          1.496	  0.086	  0.158
          1.498	  0.091	  0.154
          1.500	  0.098	  0.150
          1.502	  0.100	  0.148
          1.504	  0.102	  0.146
          1.506	  0.104	  0.142
          1.508	  0.105	  0.138
          1.510	  0.104	  0.130
          1.512	  0.103	  0.123
          1.514	  0.103	  0.118
          1.516	  0.102	  0.113
          1.518	  0.101	  0.106
          1.520	  0.100	  0.101
          1.522	  0.096	  0.095
          1.524	  0.090	  0.090
          1.526	  0.084	  0.086
          1.528	  0.077	  0.081
          1.530	  0.074	  0.077
          1.532	  0.070	  0.074
          1.534	  0.069	  0.070
          1.536	  0.067	  0.067
          1.538	  0.062	  0.062
          1.540	  0.059	  0.059
          1.542	  0.056	  0.056
          1.544	  0.051	  0.053
          1.546	  0.047	  0.050
          1.548	  0.043	  0.046
          1.550	  0.038	  0.043
          1.552	  0.035	  0.041
          1.554	  0.030	  0.039
          1.556	  0.026	  0.036
          1.558	  0.024	  0.035
          1.560	  0.020	  0.034
          1.562	  0.017	  0.033
          1.564	  0.014	  0.032
          1.566	  0.008	  0.029
          1.568	  0.002	  0.028
          1.570	 -0.002	  0.025
          1.572	 -0.006	  0.022
          1.574	 -0.009	  0.019
          1.576	 -0.011	  0.016
          1.578	 -0.015	  0.015
          1.580	 -0.018	  0.015
          1.582	 -0.020	  0.011
          1.584	 -0.022	  0.009
          1.586	 -0.024	  0.009
          1.588	 -0.024	  0.008
          1.590	 -0.023	  0.008
          1.592	 -0.021	  0.007
          1.594	 -0.025	  0.006
          1.596	 -0.029	  0.006
          1.598	 -0.032	  0.006
          1.600	 -0.033	  0.005
          1.602	 -0.036	  0.004
          1.604	 -0.038	  0.004
          1.606	 -0.040	  0.004
          1.608	 -0.042	  0.005
          1.610	 -0.042	  0.004
          1.612	 -0.042	  0.003
          1.614	 -0.041	  0.003
          1.616	 -0.040	  0.002
          1.618	 -0.042	  0.004
          1.620	 -0.044	  0.005
          1.622	 -0.046	  0.005
          1.624	 -0.048	  0.005
          1.626	 -0.048	  0.006
          1.628	 -0.047	  0.006
          1.630	 -0.048	  0.007
          1.632	 -0.049	  0.006
          1.634	 -0.050	  0.009
          1.636	 -0.051	  0.013
          1.638	 -0.051	  0.011
          1.640	 -0.051	  0.010
          1.642	 -0.051	  0.009
          1.644	 -0.050	  0.007
          1.646	 -0.050	  0.006
          1.648	 -0.050	  0.005
          1.650	 -0.050	  0.005
          1.652	 -0.050	  0.004
          1.654	 -0.050	  0.005
          1.656	 -0.050	  0.004
          1.658	 -0.051	  0.004
          1.660	 -0.052	  0.004
          1.662	 -0.051	  0.004
          1.664	 -0.051	  0.003
          1.666	 -0.051	  0.004
          1.668	 -0.051	  0.004
          1.670	 -0.052	  0.004
          1.672	 -0.054	  0.006
          1.674	 -0.053	  0.005
          1.676	 -0.052	  0.004
          1.678	 -0.052	  0.004
          1.680	 -0.052	  0.004
          1.682	 -0.052	  0.003
          1.684	 -0.051	  0.003
          1.686	 -0.054	  0.002
          1.688	 -0.057	  0.001
          1.690	 -0.057	  0.002
          1.692	 -0.056	  0.003
          1.694	 -0.056	  0.004
          1.696	 -0.054	  0.005
          1.698	 -0.056	  0.006
          1.700	 -0.055	  0.008
          1.702	 -0.054	  0.007
          1.704	 -0.054	  0.006
          1.706	 -0.053	  0.007
          1.708	 -0.053	  0.007
          1.710	 -0.052	  0.008
          1.712	 -0.052	  0.007
          1.714	 -0.054	  0.006
          1.716	 -0.055	  0.005
          1.718	 -0.054	  0.006
          1.720	 -0.053	  0.007
          1.722	 -0.055	  0.009
          1.724	 -0.056	  0.009
          1.726	 -0.056	  0.010
          1.728	 -0.054	  0.010
          1.730	 -0.053	  0.009
          1.732	 -0.052	  0.007
