   Elapsed time	    ECG	    EMG	oot GSR	and GSR	     HR	   RESP
          0.081	 -0.034	  0.004	  2.511	 11.139	 84.000	 10.958
          0.081	 -0.034	  0.004	  2.511	 11.139	 84.000	 10.958
          0.082	 -0.034	  0.001	  2.511	 11.139	 84.000	 10.958
          0.082	 -0.034	 -0.000	  2.511	 11.139	 84.000	 10.958
          0.083	 -0.032	 -0.003	  2.511	 11.139	 84.000	 10.958
          0.083	 -0.032	 -0.006	  2.511	 11.139	 84.000	 10.958
          0.084	 -0.032	 -0.006	  2.511	 11.139	 84.000	 10.958
          0.084	 -0.032	 -0.105	  2.511	 11.139	 84.000	 10.958
          0.085	 -0.027	  0.002	  2.511	 11.139	 84.000	 10.958
          0.085	 -0.027	  0.007	  2.511	 11.139	 84.000	 10.958
          0.086	 -0.027	  0.009	  2.511	 11.139	 84.000	 10.958
          0.086	 -0.027	  0.015	  2.511	 11.139	 84.000	 10.958
          0.087	 -0.026	  0.025	  2.511	 11.139	 84.000	 10.958
          0.087	 -0.026	  0.032	  2.511	 11.139	 84.000	 10.958
          0.088	 -0.026	  0.030	  2.511	 11.139	 84.000	 10.958
          0.088	 -0.026	  0.024	  2.511	 11.139	 84.000	 10.958
          0.089	 -0.022	  0.023	  2.511	 11.139	 84.000	 10.958
          0.089	 -0.022	  0.023	  2.511	 11.139	 84.000	 10.958
          0.090	 -0.022	  0.002	  2.511	 11.139	 84.000	 10.958
          0.090	 -0.022	  0.010	  2.511	 11.139	 84.000	 10.958
          0.091	 -0.024	  0.005	  2.511	 11.139	 84.000	 10.958
          0.091	 -0.024	  0.002	  2.511	 11.139	 84.000	 10.958
          0.092	 -0.024	  0.002	  2.511	 11.139	 84.000	 10.958
          0.092	 -0.024	  0.000	  2.511	 11.139	 84.000	 10.958
          0.093	 -0.017	 -0.004	  2.511	 11.139	 84.000	 10.958
          0.093	 -0.017	 -0.009	  2.511	 11.139	 84.000	 10.958
          0.094	 -0.017	 -0.013	  2.511	 11.139	 84.000	 10.958
          0.094	 -0.017	 -0.011	  2.511	 11.139	 84.000	 10.958
          0.095	 -0.031	 -0.005	  2.511	 11.139	 84.000	 10.958
          0.095	 -0.031	 -0.105	  2.511	 11.139	 84.000	 10.958
          0.096	 -0.031	 -0.000	  2.511	 11.139	 84.000	 10.958
          0.096	 -0.031	  0.002	  2.511	 11.139	 84.000	 10.958
          0.097	 -0.033	  0.001	  2.513	 11.134	 84.000	 10.958
          0.097	 -0.033	 -0.002	  2.513	 11.134	 84.000	 10.958
          0.098	 -0.033	 -0.001	  2.513	 11.134	 84.000	 10.958
          0.098	 -0.033	  0.001	  2.513	 11.134	 84.000	 10.958
          0.099	 -0.020	  0.002	  2.513	 11.134	 84.000	 10.958
          0.099	 -0.020	  0.001	  2.513	 11.134	 84.000	 10.958
          0.100	 -0.020	  0.002	  2.513	 11.134	 84.000	 10.958
          0.100	 -0.020	  0.001	  2.513	 11.134	 84.000	 10.958
          0.101	 -0.018	 -0.105	  2.513	 11.134	 84.000	 10.958
          0.101	 -0.018	 -0.009	  2.513	 11.134	 84.000	 10.958
          0.102	 -0.018	 -0.017	  2.513	 11.134	 84.000	 10.958
          0.102	 -0.018	 -0.022	  2.513	 11.134	 84.000	 10.958
          0.103	 -0.029	 -0.024	  2.513	 11.134	 84.000	 10.958
          0.103	 -0.029	 -0.025	  2.513	 11.134	 84.000	 10.958
          0.104	 -0.029	 -0.027	  2.513	 11.134	 84.000	 10.958
          0.104	 -0.029	 -0.028	  2.513	 11.134	 84.000	 10.958
          0.105	 -0.026	 -0.025	  2.513	 11.134	 84.000	 10.958
          0.105	 -0.026	 -0.018	  2.513	 11.134	 84.000	 10.958
          0.106	 -0.026	 -0.005	  2.513	 11.134	 84.000	 10.958
          0.106	 -0.026	  0.002	  2.513	 11.134	 84.000	 10.958
          0.107	 -0.034	  0.016	  2.513	 11.134	 84.000	 10.958
          0.107	 -0.034	  0.004	  2.513	 11.134	 84.000	 10.958
          0.108	 -0.034	 -0.006	  2.513	 11.134	 84.000	 10.958
          0.108	 -0.034	 -0.005	  2.513	 11.134	 84.000	 10.958
          0.109	 -0.020	  0.002	  2.513	 11.134	 84.000	 10.958
          0.109	 -0.020	  0.010	  2.513	 11.134	 84.000	 10.958
          0.110	 -0.020	  0.016	  2.513	 11.134	 84.000	 10.958
          0.110	 -0.020	  0.018	  2.513	 11.134	 84.000	 10.958
          0.111	 -0.023	  0.009	  2.513	 11.134	 84.000	 10.958
          0.111	 -0.023	  0.005	  2.513	 11.134	 84.000	 10.958
          0.112	 -0.023	  0.002	  2.513	 11.134	 84.000	 10.958
          0.112	 -0.023	  0.004	  2.513	 11.134	 84.000	 10.958
          0.113	 -0.035	 -0.008	  2.513	 11.134	 84.000	 10.958
          0.113	 -0.035	 -0.024	  2.513	 11.134	 84.000	 10.958
          0.114	 -0.035	 -0.033	  2.513	 11.134	 84.000	 10.958
          0.114	 -0.035	 -0.028	  2.513	 11.134	 84.000	 10.958
          0.115	 -0.032	 -0.020	  2.513	 11.134	 84.000	 10.958
          0.115	 -0.032	 -0.011	  2.513	 11.134	 84.000	 10.958
          0.116	 -0.032	 -0.005	  2.513	 11.134	 84.000	 10.958
          0.116	 -0.032	 -0.003	  2.513	 11.134	 84.000	 10.958
          0.117	 -0.017	 -0.004	  2.513	 11.134	 84.000	 10.958
          0.117	 -0.017	 -0.105	  2.513	 11.134	 84.000	 10.958
          0.118	 -0.017	 -0.105	  2.513	 11.134	 84.000	 10.958
          0.118	 -0.017	 -0.006	  2.513	 11.134	 84.000	 10.958
          0.119	 -0.015	 -0.002	  2.513	 11.134	 84.000	 10.958
          0.119	 -0.015	 -0.004	  2.513	 11.134	 84.000	 10.958
          0.120	 -0.015	 -0.005	  2.513	 11.134	 84.000	 10.958
          0.120	 -0.015	 -0.008	  2.513	 11.134	 84.000	 10.958
          0.121	 -0.010	 -0.011	  2.513	 11.134	 84.000	 10.958
          0.121	 -0.010	 -0.006	  2.513	 11.134	 84.000	 10.958
          0.122	 -0.010	  0.002	  2.513	 11.134	 84.000	 10.958
          0.122	 -0.010	  0.010	  2.513	 11.134	 84.000	 10.958
          0.123	 -0.026	  0.001	  2.513	 11.134	 84.000	 10.958
          0.123	 -0.026	  0.002	  2.513	 11.134	 84.000	 10.958
          0.124	 -0.026	  0.013	  2.513	 11.134	 84.000	 10.958
          0.124	 -0.026	  0.014	  2.513	 11.134	 84.000	 10.958
          0.125	 -0.026	  0.014	  2.513	 11.134	 84.000	 10.958
          0.126	 -0.026	  0.010	  2.513	 11.134	 84.000	 10.958
          0.126	 -0.026	  0.004	  2.513	 11.134	 84.000	 10.958
          0.127	 -0.026	  0.005	  2.513	 11.134	 84.000	 10.958
          0.127	 -0.037	  0.011	  2.513	 11.134	 84.000	 10.958
          0.128	 -0.037	  0.015	  2.513	 11.134	 84.000	 10.958
          0.128	 -0.037	  0.015	  2.513	 11.134	 84.000	 10.958
          0.129	 -0.037	  0.001	  2.513	 11.134	 84.000	 10.958
          0.129	 -0.023	  0.006	  2.513	 11.129	 84.000	 10.982
          0.130	 -0.023	  0.002	  2.513	 11.129	 84.000	 10.982
          0.130	 -0.023	 -0.002	  2.513	 11.129	 84.000	 10.982
          0.131	 -0.023	 -0.004	  2.513	 11.129	 84.000	 10.982
          0.131	 -0.029	 -0.009	  2.513	 11.129	 84.000	 10.982
          0.132	 -0.029	 -0.015	  2.513	 11.129	 84.000	 10.982
          0.132	 -0.029	 -0.014	  2.513	 11.129	 84.000	 10.982
          0.133	 -0.029	 -0.011	  2.513	 11.129	 84.000	 10.982
          0.133	 -0.011	 -0.007	  2.513	 11.129	 84.000	 10.982
          0.134	 -0.011	  0.004	  2.513	 11.129	 84.000	 10.982
          0.134	 -0.011	  0.002	  2.513	 11.129	 84.000	 10.982
          0.135	 -0.011	  0.011	  2.513	 11.129	 84.000	 10.982
          0.135	 -0.035	  0.008	  2.513	 11.129	 84.000	 10.982
          0.136	 -0.035	  0.004	  2.513	 11.129	 84.000	 10.982
          0.136	 -0.035	 -0.001	  2.513	 11.129	 84.000	 10.982
          0.137	 -0.035	  0.004	  2.513	 11.129	 84.000	 10.982
          0.137	 -0.011	  0.011	  2.513	 11.129	 84.000	 10.982
          0.138	 -0.011	  0.008	  2.513	 11.129	 84.000	 10.982
          0.138	 -0.011	 -0.001	  2.513	 11.129	 84.000	 10.982
          0.139	 -0.011	 -0.012	  2.513	 11.129	 84.000	 10.982
          0.139	 -0.007	 -0.015	  2.513	 11.129	 84.000	 10.982
          0.140	 -0.007	 -0.105	  2.513	 11.129	 84.000	 10.982
          0.140	 -0.007	 -0.010	  2.513	 11.129	 84.000	 10.982
          0.141	 -0.007	 -0.013	  2.513	 11.129	 84.000	 10.982
          0.141	 -0.020	 -0.011	  2.513	 11.129	 84.000	 10.982
          0.142	 -0.020	 -0.004	  2.513	 11.129	 84.000	 10.982
          0.142	 -0.020	  0.005	  2.513	 11.129	 84.000	 10.982
          0.143	 -0.020	  0.010	  2.513	 11.129	 84.000	 10.982
          0.143	 -0.021	  0.010	  2.513	 11.129	 84.000	 10.982
          0.144	 -0.021	  0.014	  2.513	 11.129	 84.000	 10.982
          0.144	 -0.021	  0.020	  2.513	 11.129	 84.000	 10.982
          0.145	 -0.021	  0.017	  2.513	 11.129	 84.000	 10.982
          0.145	 -0.004	  0.002	  2.513	 11.129	 84.000	 10.982
          0.146	 -0.004	 -0.003	  2.513	 11.129	 84.000	 10.982
          0.146	 -0.004	 -0.003	  2.513	 11.129	 84.000	 10.982
          0.147	 -0.004	  0.001	  2.513	 11.129	 84.000	 10.982
          0.147	 -0.002	  0.006	  2.513	 11.129	 84.000	 10.982
          0.148	 -0.002	  0.014	  2.513	 11.129	 84.000	 10.982
          0.148	 -0.002	  0.018	  2.513	 11.129	 84.000	 10.982
          0.149	 -0.002	  0.024	  2.513	 11.129	 84.000	 10.982
          0.149	 -0.011	  0.034	  2.513	 11.129	 84.000	 10.982
          0.150	 -0.011	  0.036	  2.513	 11.129	 84.000	 10.982
          0.150	 -0.011	  0.030	  2.513	 11.129	 84.000	 10.982
          0.151	 -0.011	  0.002	  2.513	 11.129	 84.000	 10.982
          0.151	 -0.023	  0.009	  2.513	 11.129	 84.000	 10.982
          0.152	 -0.023	  0.000	  2.513	 11.129	 84.000	 10.982
          0.152	 -0.023	 -0.005	  2.513	 11.129	 84.000	 10.982
          0.153	 -0.023	 -0.009	  2.513	 11.129	 84.000	 10.982
          0.153	 -0.007	 -0.011	  2.513	 11.129	 84.000	 10.982
          0.154	 -0.007	 -0.011	  2.513	 11.129	 84.000	 10.982
          0.154	 -0.007	 -0.008	  2.513	 11.129	 84.000	 10.982
          0.155	 -0.007	 -0.002	  2.513	 11.129	 84.000	 10.982
          0.155	 -0.004	  0.001	  2.513	 11.129	 84.000	 10.982
          0.156	 -0.004	  0.000	  2.513	 11.129	 84.000	 10.982
          0.156	 -0.004	  0.002	  2.513	 11.129	 84.000	 10.982
          0.157	 -0.004	  0.004	  2.513	 11.129	 84.000	 10.982
          0.157	  0.002	  0.008	  2.513	 11.129	 84.000	 10.982
          0.158	  0.002	  0.013	  2.513	 11.129	 84.000	 10.982
          0.158	  0.002	  0.019	  2.513	 11.129	 84.000	 10.982
          0.159	  0.002	  0.021	  2.513	 11.129	 84.000	 10.982
          0.159	  0.001	  0.012	  2.513	 11.129	 84.000	 10.982
          0.160	  0.001	  0.004	  2.513	 11.129	 84.000	 10.982
          0.160	  0.001	  0.005	  2.513	 11.129	 84.000	 10.982
          0.161	  0.001	  0.008	  2.513	 11.129	 84.000	 10.982
          0.161	 -0.009	  0.005	  2.516	 11.125	 84.000	 10.982
          0.162	 -0.009	  0.002	  2.516	 11.125	 84.000	 10.982
          0.162	 -0.009	 -0.001	  2.516	 11.125	 84.000	 10.982
          0.163	 -0.009	  0.002	  2.516	 11.125	 84.000	 10.982
          0.163	 -0.001	  0.008	  2.516	 11.125	 84.000	 10.982
          0.164	 -0.001	  0.008	  2.516	 11.125	 84.000	 10.982
          0.164	 -0.001	  0.003	  2.516	 11.125	 84.000	 10.982
          0.165	 -0.001	 -0.001	  2.516	 11.125	 84.000	 10.982
          0.165	 -0.013	 -0.005	  2.516	 11.125	 84.000	 10.982
          0.166	 -0.013	 -0.011	  2.516	 11.125	 84.000	 10.982
          0.166	 -0.013	 -0.018	  2.516	 11.125	 84.000	 10.982
          0.167	 -0.013	 -0.025	  2.516	 11.125	 84.000	 10.982
          0.167	  0.006	 -0.105	  2.516	 11.125	 84.000	 10.982
          0.168	  0.006	 -0.023	  2.516	 11.125	 84.000	 10.982
          0.168	  0.006	 -0.020	  2.516	 11.125	 84.000	 10.982
          0.169	  0.006	 -0.014	  2.516	 11.125	 84.000	 10.982
          0.169	 -0.020	  0.000	  2.516	 11.125	 84.000	 10.982
          0.170	 -0.020	  0.015	  2.516	 11.125	 84.000	 10.982
          0.170	 -0.020	  0.024	  2.516	 11.125	 84.000	 10.982
          0.171	 -0.020	  0.025	  2.516	 11.125	 84.000	 10.982
          0.171	 -0.007	  0.024	  2.516	 11.125	 84.000	 10.982
          0.172	 -0.007	  0.021	  2.516	 11.125	 84.000	 10.982
          0.172	 -0.007	  0.015	  2.516	 11.125	 84.000	 10.982
          0.173	 -0.007	  0.002	  2.516	 11.125	 84.000	 10.982
          0.173	 -0.017	  0.008	  2.516	 11.125	 84.000	 10.982
          0.174	 -0.017	  0.016	  2.516	 11.125	 84.000	 10.982
          0.174	 -0.017	  0.019	  2.516	 11.125	 84.000	 10.982
          0.175	 -0.017	  0.013	  2.516	 11.125	 84.000	 10.982
          0.175	 -0.024	  0.009	  2.516	 11.125	 84.000	 10.982
          0.176	 -0.024	  0.009	  2.516	 11.125	 84.000	 10.982
          0.176	 -0.024	  0.011	  2.516	 11.125	 84.000	 10.982
          0.177	 -0.024	  0.011	  2.516	 11.125	 84.000	 10.982
          0.177	 -0.032	  0.009	  2.516	 11.125	 84.000	 10.982
          0.178	 -0.032	  0.004	  2.516	 11.125	 84.000	 10.982
          0.178	 -0.032	 -0.105	  2.516	 11.125	 84.000	 10.982
          0.179	 -0.032	 -0.003	  2.516	 11.125	 84.000	 10.982
          0.179	 -0.034	  0.001	  2.516	 11.125	 84.000	 10.982
          0.180	 -0.034	  0.003	  2.516	 11.125	 84.000	 10.982
          0.180	 -0.034	  0.000	  2.516	 11.125	 84.000	 10.982
          0.181	 -0.034	 -0.003	  2.516	 11.125	 84.000	 10.982
          0.181	 -0.037	 -0.005	  2.516	 11.125	 84.000	 10.982
          0.182	 -0.037	 -0.001	  2.516	 11.125	 84.000	 10.982
          0.182	 -0.037	  0.006	  2.516	 11.125	 84.000	 10.982
          0.183	 -0.037	  0.013	  2.516	 11.125	 84.000	 10.982
          0.183	 -0.022	  0.018	  2.516	 11.125	 84.000	 10.982
          0.184	 -0.022	  0.002	  2.516	 11.125	 84.000	 10.982
          0.184	 -0.022	  0.015	  2.516	 11.125	 84.000	 10.982
          0.185	 -0.022	  0.013	  2.516	 11.125	 84.000	 10.982
          0.185	 -0.024	  0.015	  2.516	 11.125	 84.000	 10.982
          0.186	 -0.024	  0.019	  2.516	 11.125	 84.000	 10.982
          0.186	 -0.024	  0.017	  2.516	 11.125	 84.000	 10.982
          0.187	 -0.024	  0.009	  2.516	 11.125	 84.000	 10.982
          0.188	 -0.027	  0.001	  2.516	 11.125	 84.000	 10.982
          0.188	 -0.027	 -0.001	  2.516	 11.125	 84.000	 10.982
          0.189	 -0.027	  0.000	  2.516	 11.125	 84.000	 10.982
          0.189	 -0.027	  0.000	  2.516	 11.125	 84.000	 10.982
          0.190	 -0.015	  0.002	  2.516	 11.125	 84.000	 10.982
          0.190	 -0.015	  0.006	  2.516	 11.125	 84.000	 10.982
          0.191	 -0.015	  0.010	  2.516	 11.125	 84.000	 10.982
          0.191	 -0.015	  0.011	  2.516	 11.125	 84.000	 10.982
          0.192	 -0.032	  0.011	  2.516	 11.125	 84.000	 10.982
