   Elapsed time	    ECG	    EMG	oot GSR	and GSR	     HR	   RESP
          4.645	  0.110	 -0.008	  2.375	 10.594	 88.000	 11.102
          4.710	  0.074	  0.002	  2.374	 10.588	 88.000	 11.092
          4.774	 -0.060	 -0.012	  2.374	 10.585	 88.000	 11.102
          4.839	 -0.040	 -0.013	  2.372	 10.585	 88.000	 11.110
          4.903	 -0.020	 -0.007	  2.369	 10.581	 88.000	 11.108
          4.968	  0.000	 -0.011	  2.368	 10.575	 88.000	 11.096
          5.032	 -0.006	 -0.006	  2.367	 10.567	 88.000	 11.088
          5.097	 -0.058	 -0.007	  2.365	 10.560	 88.000	 11.090
          5.161	 -0.063	 -0.006	  2.363	 10.556	 88.000	 11.104
          5.226	 -0.417	  0.008	  2.362	 10.551	 88.000	 11.108
          5.290	 -0.059	 -0.009	  2.360	 10.545	 88.000	 11.102
          5.355	 -0.077	 -0.005	  2.358	 10.539	 88.000	 11.092
          5.419	 -0.140	 -0.001	  2.357	 10.536	 88.000	 11.088
          5.484	 -0.124	 -0.012	  2.355	 10.534	 88.000	 11.100
          5.548	 -0.116	 -0.006	  2.354	 10.529	 88.000	 11.130
          5.613	 -0.112	 -0.005	  2.352	 10.525	 88.000	 11.134
          5.677	 -0.115	 -0.009	  2.349	 10.526	 88.000	 11.134
          5.742	 -0.121	  0.006	  2.349	 10.529	 88.000	 11.156
          5.806	 -0.412	 -0.002	  2.347	 10.534	 88.000	 11.174
          5.871	 -0.029	 -0.026	  2.344	 10.542	 88.000	 11.202
          5.935	  0.001	  0.022	  2.344	 10.556	 88.000	 11.234
          6.000	 -0.054	 -0.007	  2.344	 10.571	 88.000	 11.262
          6.065	 -0.048	 -0.019	  2.343	 10.591	 88.000	 11.268
          6.129	 -0.048	 -0.008	  2.340	 10.612	 88.000	 11.264
          6.194	 -0.050	  0.003	  2.338	 10.637	 88.000	 11.264
          6.258	 -0.038	 -0.007	  2.337	 10.663	 88.000	 11.268
          6.323	 -0.012	 -0.017	  2.337	 10.691	 88.000	 11.274
          6.387	 -0.333	  0.003	  2.337	 10.718	 88.000	 11.264
          6.452	  0.001	 -0.009	  2.337	 10.742	 88.000	 11.246
          6.516	  0.102	  0.010	  2.337	 10.760	 88.000	 11.222
          6.581	  0.077	  0.013	  2.337	 10.782	 88.000	 11.192
          6.645	 -0.006	 -0.006	  2.337	 10.801	 88.000	 11.154
          6.710	  0.002	 -0.018	  2.338	 10.821	 33.000	 11.120
          6.774	  0.019	 -0.008	  2.339	 10.837	 33.000	 11.098
          6.839	  0.033	 -0.004	  2.340	 10.851	 33.000	 11.080
          6.903	  0.060	  0.010	  2.342	 10.862	 33.000	 11.062
          6.968	  0.075	  0.007	  2.345	 10.870	 33.000	 11.048
          7.032	 -0.301	  0.006	  2.350	 10.888	 33.000	 11.092
          7.097	  0.173	  0.004	  2.353	 10.893	 33.000	 11.162
          7.161	  0.168	  0.005	  2.357	 10.897	 33.000	 11.222
          7.226	  0.142	 -0.011	  2.360	 10.901	 33.000	 11.224
          7.290	  0.225	 -0.027	  2.363	 10.903	 33.000	 11.246
          7.355	  0.212	 -0.007	  2.365	 10.902	 33.000	 11.318
          7.419	  0.149	  0.006	  2.370	 10.902	 33.000	 11.366
          7.484	  0.129	  0.012	  2.373	 10.903	 33.000	 11.352
          7.548	  0.180	  0.030	  2.375	 10.898	 33.000	 11.336
          7.613	 -0.176	  0.032	  2.380	 10.886	 33.000	 11.340
          7.677	  0.125	  0.043	  2.382	 10.877	 33.000	 11.362
          7.742	  0.197	 -0.006	  2.385	 10.872	 33.000	 11.416
          7.806	  0.212	 -0.040	  2.388	 10.867	 33.000	 11.496
          7.871	  0.158	 -0.030	  2.391	 10.863	 33.000	 11.576
          7.935	  0.170	 -0.009	  2.391	 10.866	 33.000	 11.610
          8.000	  0.196	 -0.014	  2.394	 10.864	 33.000	 11.600
          8.065	  0.183	 -0.022	  2.394	 10.861	 33.000	 11.528
          8.129	  0.143	 -0.025	  2.396	 10.861	 33.000	 11.432
          8.194	  0.110	 -0.023	  2.396	 10.859	 33.000	 11.342
          8.258	 -0.299	 -0.024	  2.396	 10.850	 33.000	 11.356
          8.323	  0.159	 -0.043	  2.395	 10.840	 33.000	 11.500
          8.387	  0.213	 -0.022	  2.394	 10.827	 33.000	 11.612
          8.452	  0.188	  0.004	  2.394	 10.806	 33.000	 11.496
          8.516	  0.149	  0.003	  2.392	 10.797	 33.000	 11.394
          8.581	  0.157	  0.004	  2.391	 10.800	 33.000	 11.336
          8.645	  0.140	 -0.004	  2.388	 10.791	 33.000	 11.320
          8.710	  0.122	 -0.007	  2.387	 10.782	 33.000	 11.346
          8.774	  0.107	  0.005	  2.384	 10.775	 33.000	 11.386
          8.839	  0.116	  0.006	  2.383	 10.769	 33.000	 11.464
          8.903	 -0.265	 -0.003	  2.382	 10.763	 33.000	 11.554
          8.968	  0.173	 -0.004	  2.380	 10.758	 53.000	 11.472
          9.032	  0.170	  0.001	  2.379	 10.753	 53.000	 11.296
          9.097	  0.113	  0.004	  2.379	 10.749	 53.000	 11.146
          9.161	  0.125	 -0.003	  2.377	 10.747	 53.000	 11.074
          9.226	  0.126	 -0.001	  2.377	 10.745	 53.000	 10.992
          9.290	  0.100	 -0.005	  2.374	 10.742	 53.000	 10.936
          9.355	  0.100	 -0.005	  2.374	 10.742	 53.000	 10.966
          9.419	  0.111	 -0.002	  2.372	 10.737	 53.000	 11.048
          9.484	  0.130	 -0.001	  2.370	 10.734	 53.000	 11.034
          9.548	 -0.343	 -0.006	  2.369	 10.734	 53.000	 10.998
          9.613	  0.159	 -0.008	  2.367	 10.733	 53.000	 10.924
          9.677	  0.169	 -0.008	  2.367	 10.729	 53.000	 10.816
          9.742	  0.121	 -0.004	  2.367	 10.727	 53.000	 10.742
          9.806	  0.112	 -0.017	  2.365	 10.725	 53.000	 10.692
          9.871	  0.119	 -0.009	  2.363	 10.723	 53.000	 10.642
          9.935	  0.107	 -0.003	  2.362	 10.715	 53.000	 10.620
         10.000	  0.090	 -0.004	  2.359	 10.713	 53.000	 10.626
         10.065	  0.088	  0.001	  2.359	 10.709	 53.000	 10.628
         10.129	  0.101	  0.001	  2.357	 10.705	 53.000	 10.646
         10.194	  0.128	  0.001	  2.357	 10.702	 53.000	 10.660
         10.258	 -0.309	  0.001	  2.357	 10.698	 53.000	 10.668
         10.323	  0.181	  0.000	  2.357	 10.695	 76.000	 10.650
         10.387	  0.168	 -0.002	  2.358	 10.692	 76.000	 10.622
         10.452	  0.113	 -0.001	  2.360	 10.688	 76.000	 10.582
         10.516	  0.103	 -0.016	  2.363	 10.683	 76.000	 10.558
         10.581	  0.117	 -0.015	  2.363	 10.678	 76.000	 10.534
         10.645	  0.098	 -0.017	  2.367	 10.676	 76.000	 10.510
         10.710	  0.089	 -0.021	  2.369	 10.670	 76.000	 10.490
         10.774	  0.065	 -0.019	  2.369	 10.663	 76.000	 10.470
         10.839	  0.032	 -0.009	  2.372	 10.658	 76.000	 10.456
         10.903	  0.068	  0.000	  2.373	 10.655	 76.000	 10.432
         10.968	 -0.431	  0.001	  2.375	 10.648	 76.000	 10.410
         11.032	  0.102	  0.004	  2.377	 10.643	 76.000	 10.394
         11.097	  0.116	  0.005	  2.374	 10.638	 76.000	 10.388
         11.161	  0.084	  0.005	  2.374	 10.635	 76.000	 10.392
         11.226	  0.043	 -0.013	  2.372	 10.631	 76.000	 10.436
         11.290	  0.065	 -0.014	  2.372	 10.628	 80.000	 10.436
         11.355	  0.064	 -0.010	  2.372	 10.618	 80.000	 10.436
         11.419	  0.042	 -0.012	  2.372	 10.616	 80.000	 10.436
         11.484	  0.025	 -0.009	  2.373	 10.611	 80.000	 10.438
         11.548	  0.038	 -0.004	  2.374	 10.606	 80.000	 10.444
         11.613	 -0.459	 -0.001	  2.374	 10.601	 80.000	 10.446
         11.677	  0.110	 -0.002	  2.372	 10.596	 80.000	 10.454
         11.742	  0.137	 -0.001	  2.369	 10.594	 80.000	 10.460
         11.806	  0.140	  0.001	  2.368	 10.590	 80.000	 10.468
         11.871	  0.063	 -0.011	  2.365	 10.586	 80.000	 10.470
         11.935	  0.076	 -0.010	  2.364	 10.583	 80.000	 10.458
         12.000	  0.073	 -0.009	  2.363	 10.580	 80.000	 10.428
         12.065	  0.069	 -0.003	  2.362	 10.576	 80.000	 10.410
         12.129	  0.071	 -0.012	  2.362	 10.574	 80.000	 10.414
         12.194	  0.075	 -0.010	  2.365	 10.570	 80.000	 10.446
         12.258	  0.063	 -0.009	  2.370	 10.570	 80.000	 10.502
         12.323	  0.108	  0.001	  2.372	 10.569	 80.000	 10.558
         12.387	 -0.408	 -0.004	  2.370	 10.569	 80.000	 10.602
         12.452	  0.143	 -0.003	  2.369	 10.573	 56.000	 10.614
         12.516	  0.156	 -0.001	  2.370	 10.576	 56.000	 10.604
         12.581	  0.109	 -0.002	  2.372	 10.580	 56.000	 10.566
         12.645	  0.084	 -0.009	  2.373	 10.587	 56.000	 10.524
         12.710	  0.087	 -0.006	  2.374	 10.595	 56.000	 10.478
         12.774	  0.094	 -0.001	  2.377	 10.604	 56.000	 10.446
         12.839	  0.093	 -0.003	  2.377	 10.614	 56.000	 10.438
         12.903	  0.111	  0.002	  2.378	 10.624	 56.000	 10.456
         12.968	  0.115	 -0.005	  2.379	 10.634	 56.000	 10.490
         13.032	  0.091	 -0.008	  2.382	 10.647	 56.000	 10.502
         13.097	  0.107	 -0.006	  2.384	 10.658	 56.000	 10.476
         13.161	 -0.339	 -0.010	  2.387	 10.668	 56.000	 10.414
         13.226	  0.101	 -0.004	  2.389	 10.678	 77.000	 10.346
         13.290	  0.106	  0.004	  2.391	 10.687	 77.000	 10.294
         13.355	  0.035	 -0.002	  2.395	 10.704	 77.000	 10.282
         13.419	  0.013	 -0.011	  2.397	 10.713	 77.000	 10.290
         13.484	  0.005	 -0.014	  2.400	 10.719	 77.000	 10.302
         13.548	  0.000	 -0.007	  2.401	 10.725	 77.000	 10.302
         13.613	  0.003	  0.003	  2.402	 10.730	 77.000	 10.294
         13.677	 -0.002	  0.001	  2.405	 10.733	 77.000	 10.284
         13.742	 -0.005	 -0.006	  2.406	 10.734	 77.000	 10.280
         13.806	 -0.446	 -0.004	  2.407	 10.738	 77.000	 10.302
         13.871	  0.046	 -0.001	  2.410	 10.739	 77.000	 10.330
         13.935	  0.066	  0.000	  2.411	 10.740	 77.000	 10.360
         14.000	  0.065	  0.003	  2.414	 10.739	 77.000	 10.388
         14.065	 -0.008	 -0.007	  2.414	 10.739	106.000	 10.414
         14.129	  0.002	 -0.012	  2.414	 10.739	106.000	 10.426
         14.194	  0.003	 -0.003	  2.414	 10.739	106.000	 10.458
         14.258	 -0.004	 -0.006	  2.416	 10.737	106.000	 10.490
         14.323	 -0.008	 -0.004	  2.416	 10.733	106.000	 10.526
         14.387	 -0.011	 -0.004	  2.417	 10.730	106.000	 10.548
         14.452	 -0.013	 -0.004	  2.419	 10.728	106.000	 10.578
         14.516	 -0.410	 -0.002	  2.419	 10.723	106.000	 10.692
         14.581	  0.037	 -0.009	  2.419	 10.719	106.000	 10.812
         14.645	  0.069	 -0.002	  2.419	 10.715	106.000	 10.888
         14.710	  0.061	 -0.003	  2.419	 10.710	106.000	 10.930
         14.774	 -0.017	 -0.012	  2.419	 10.707	 83.000	 10.948
         14.839	  0.000	 -0.009	  2.419	 10.702	 83.000	 10.974
         14.903	  0.000	 -0.001	  2.419	 10.695	 83.000	 10.970
         14.968	 -0.006	 -0.004	  2.419	 10.690	 83.000	 10.914
         15.032	 -0.012	 -0.002	  2.417	 10.683	 83.000	 10.920
         15.097	 -0.020	 -0.005	  2.417	 10.678	 83.000	 10.942
         15.161	 -0.025	 -0.000	  2.416	 10.673	 83.000	 10.816
         15.226	 -0.418	 -0.004	  2.416	 10.667	 83.000	 10.518
         15.290	  0.017	 -0.006	  2.415	 10.662	 83.000	 10.212
         15.355	  0.031	 -0.001	  2.407	 10.645	 83.000	  9.952
         15.419	 -0.004	 -0.009	  2.398	 10.641	 85.000	  9.830
         15.484	 -0.016	 -0.005	  2.394	 10.636	 85.000	  9.772
         15.548	 -0.020	 -0.007	  2.391	 10.631	 85.000	  9.736
         15.613	 -0.008	 -0.006	  2.385	 10.626	 85.000	  9.762
         15.677	 -0.014	 -0.004	  2.383	 10.621	 85.000	  9.818
         15.742	  0.021	 -0.003	  2.375	 10.615	 85.000	  9.892
         15.806	 -0.387	 -0.008	  2.368	 10.611	 85.000	  9.940
         15.871	  0.061	 -0.002	  2.363	 10.606	 85.000	  9.962
         15.935	  0.059	  0.000	  2.358	 10.601	 85.000	  9.976
         16.000	  0.007	 -0.005	  2.354	 10.597	 85.000	 10.012
         16.065	  0.006	 -0.012	  2.352	 10.594	 87.000	 10.078
         16.129	  0.029	 -0.003	  2.349	 10.590	 87.000	 10.152
         16.194	  0.028	 -0.005	  2.347	 10.586	 87.000	 10.238
         16.258	  0.021	 -0.008	  2.345	 10.581	 87.000	 10.344
         16.323	  0.013	 -0.006	  2.344	 10.576	 87.000	 10.454
         16.387	  0.022	 -0.003	  2.344	 10.570	 87.000	 10.534
         16.452	 -0.316	  0.003	  2.342	 10.560	 87.000	 10.568
         16.516	  0.064	  0.001	  2.342	 10.522	 87.000	 10.546
         16.581	  0.024	 -0.002	  2.342	 10.510	 87.000	 10.472
         16.645	 -0.005	 -0.013	  2.342	 10.508	 90.000	 10.366
         16.710	  0.025	 -0.015	  2.342	 10.528	 90.000	 10.292
         16.774	  0.033	  0.002	  2.342	 10.540	 90.000	 10.278
         16.839	  0.034	  0.017	  2.344	 10.540	 90.000	 10.302
         16.903	  0.026	  0.002	  2.344	 10.538	 90.000	 10.360
         16.968	  0.052	 -0.004	  2.340	 10.534	 90.000	 10.404
         17.032	 -0.369	 -0.003	  2.338	 10.529	 90.000	 10.432
         17.097	  0.083	  0.004	  2.337	 10.526	 90.000	 10.432
         17.161	  0.110	 -0.017	  2.337	 10.523	 90.000	 10.382
         17.226	  0.069	 -0.019	  2.337	 10.518	 90.000	 10.296
         17.290	  0.030	 -0.025	  2.339	 10.514	 90.000	  0.000
         17.355	  0.020	 -0.005	  2.339	 10.510	 90.000	  0.000
         17.419	  0.020	 -0.013	  2.339	 10.508	 90.000	 10.160
         17.484	  0.023	  0.011	  2.339	 10.504	 95.000	 10.162
         17.548	  0.009	  0.058	  2.338	 10.499	 95.000	 10.180
         17.613	  0.031	 -0.055	  2.337	 10.497	 95.000	 10.200
         17.677	 -0.403	 -0.025	  2.334	 10.492	 95.000	 10.218
         17.742	  0.060	 -0.003	  2.333	 10.487	 95.000	 10.228
         17.806	  0.099	  0.004	  2.332	 10.486	 95.000	 10.208
         17.871	  0.030	 -0.006	  2.330	 10.487	 95.000	 10.186
         17.935	  0.000	 -0.018	  2.329	 10.493	 93.000	 10.156
         18.000	  0.011	 -0.010	  2.328	 10.506	 93.000	 10.140
         18.065	  0.008	 -0.013	  2.325	 10.523	 93.000	 10.126
         18.129	  0.002	 -0.003	  2.323	 10.541	 93.000	 10.116
         18.194	 -0.013	 -0.004	  2.322	 10.567	 93.000	 10.096
         18.258	 -0.269	 -0.005	  2.322	 10.601	 93.000	 10.094
         18.323	 -0.132	 -0.011	  2.317	 10.734	 93.000	 10.102
         18.387	  0.005	 -0.009	  2.317	 10.785	 93.000	 10.116
         18.452	  0.016	 -0.010	  2.317	 10.835	 95.000	 10.118
         18.516	  0.061	  0.032	  2.317	 10.887	 95.000	 10.114
         18.581	  0.132	 -0.036	  2.318	 10.951	 95.000	 10.094
         18.645	 -0.012	 -0.013	  2.319	 11.034	 95.000	 10.090
         18.710	 -0.021	 -0.027	  2.322	 11.113	 95.000	 10.094
         18.774	 -0.389	 -0.000	  2.325	 11.181	 95.000	 10.090
         18.839	  0.111	  0.002	  2.331	 11.242	 95.000	 10.106
         18.903	  0.202	  0.011	  2.336	 11.293	 95.000	 10.112
         18.968	  0.220	  0.009	  2.343	 11.343	 95.000	 10.116
         19.032	  0.009	 -0.004	  2.349	 11.384	 95.000	 10.124
         19.097	  0.014	 -0.004	  2.355	 11.421	 95.000	 10.128
         19.161	 -0.034	  0.000	  2.363	 11.454	 95.000	 10.130
         19.226	 -0.023	  0.009	  2.368	 11.476	 95.000	 10.134
         19.290	  0.041	 -0.006	  2.372	 11.491	 95.000	 10.146
         19.355	  0.149	 -0.020	  2.373	 11.499	 95.000	 10.158
         19.419	 -0.211	 -0.001	  2.379	 11.507	 95.000	 10.174
         19.484	  0.093	  0.011	  2.386	 11.521	 95.000	 10.162
         19.548	  0.120	  0.008	  2.392	 11.541	 95.000	 10.148
         19.613	  0.136	 -0.017	  2.398	 11.551	 95.000	 10.140
         19.677	  0.128	 -0.021	  2.412	 11.557	 95.000	 10.148
         19.742	  0.142	 -0.012	  2.418	 11.557	 95.000	 10.158
         19.806	  0.171	 -0.008	  2.422	 11.555	 95.000	 10.164
         19.871	  0.182	 -0.004	  2.430	 11.552	 95.000	 10.172
         19.935	 -0.038	  0.002	  2.435	 11.544	 95.000	 10.180
         20.000	  0.104	 -0.010	  2.442	 11.537	137.000	 10.190
         20.065	  0.258	 -0.008	  2.450	 11.529	137.000	 10.192
         20.129	  0.246	 -0.007	  2.456	 11.519	137.000	 10.212
         20.194	  0.185	 -0.009	  2.462	 11.509	137.000	 10.244
         20.258	  0.223	 -0.009	  2.470	 11.498	137.000	 10.312
         20.323	  0.221	 -0.007	  2.475	 11.483	137.000	 10.392
         20.387	  0.221	  0.005	  2.482	 11.470	137.000	 10.462
         20.452	  0.196	 -0.012	  2.488	 11.454	137.000	 10.528
         20.516	  0.171	  0.001	  2.493	 11.438	137.000	 10.614
         20.581	 -0.220	 -0.002	  2.497	 11.421	137.000	 10.704
         20.645	  0.186	 -0.004	  2.502	 11.399	137.000	 10.790
         20.710	  0.179	  0.001	  2.507	 11.390	137.000	 10.866
         20.774	  0.093	 -0.006	  2.511	 11.384	137.000	 10.926
         20.839	  0.134	 -0.021	  2.514	 11.377	137.000	 10.982
         20.903	  0.123	 -0.022	  2.518	 11.361	137.000	 11.024
         20.968	  0.111	 -0.009	  2.521	 11.341	137.000	 11.058
         21.032	  0.031	 -0.004	  2.522	 11.309	137.000	 11.082
         21.097	 -0.324	 -0.008	  2.522	 11.295	 97.000	 11.104
         21.161	  0.108	 -0.004	  2.523	 11.285	 97.000	 11.114
         21.226	  0.097	 -0.013	  2.521	 11.260	 97.000	 11.108
         21.290	  0.032	 -0.007	  2.518	 11.250	 97.000	 11.082
         21.355	  0.036	 -0.011	  2.517	 11.194	112.000	 11.066
         21.419	  0.038	 -0.004	  2.516	 11.127	112.000	 11.118
         21.484	  0.038	  0.003	  2.514	 11.090	112.000	 11.200
         21.548	  0.033	 -0.005	  2.512	 11.076	112.000	 11.268
         21.613	  0.023	 -0.011	  2.509	 11.073	112.000	 11.290
         21.677	 -0.394	 -0.005	  2.506	 11.076	112.000	 11.288
         21.742	  0.049	 -0.007	  2.502	 11.080	112.000	 11.288
         21.806	  0.105	  0.000	  2.499	 11.080	112.000	 11.290
         21.871	  0.081	  0.000	  2.497	 11.078	112.000	 11.290
         21.935	  0.048	 -0.006	  2.496	 11.077	112.000	 11.310
         22.000	  0.090	 -0.008	  2.493	 11.071	151.000	 11.336
         22.065	  0.077	 -0.020	  2.491	 11.067	151.000	 11.364
         22.129	  0.096	 -0.006	  2.488	 11.066	151.000	 11.356
         22.194	  0.115	 -0.000	  2.486	 11.070	151.000	 11.324
         22.258	  0.124	 -0.008	  2.484	 11.076	151.000	 11.254
         22.323	  0.139	 -0.004	  2.482	 11.073	151.000	 11.134
         22.387	 -0.271	  0.006	  2.481	 11.067	151.000	 11.008
         22.452	  0.187	  0.009	  2.481	 11.074	109.000	 10.924
         22.516	  0.196	  0.005	  2.479	 11.083	109.000	 10.898
         22.581	  0.152	  0.007	  2.477	 11.096	109.000	 10.904
         22.645	  0.125	 -0.014	  2.475	 11.116	109.000	 10.946
         22.710	  0.139	 -0.013	  2.472	 11.143	109.000	 11.144
         22.774	  0.139	 -0.002	  2.471	 11.183	109.000	 11.142
         22.839	  0.133	  0.001	  2.469	 11.234	109.000	 11.152
         22.903	  0.118	 -0.001	  2.466	 11.295	109.000	 11.148
         22.968	  0.101	  0.000	  2.465	 11.364	109.000	 11.156
         23.032	  0.091	 -0.002	  2.462	 11.604	109.000	 11.162
         23.097	  0.007	 -0.009	  2.461	 11.690	 75.000	 11.166
         23.161	  0.102	 -0.001	  2.461	 11.771	 75.000	 11.158
         23.226	  0.088	  0.003	  2.461	 11.850	 75.000	 11.134
         23.290	  0.017	 -0.004	  2.462	 11.923	 75.000	 11.108
         23.355	  0.042	 -0.005	  2.466	 11.993	 75.000	 11.098
         23.419	  0.030	 -0.011	  2.470	 12.054	 75.000	 11.104
         23.484	  0.019	 -0.010	  2.476	 12.106	 75.000	 11.136
         23.548	  0.008	 -0.011	  2.482	 12.152	 75.000	 11.156
         23.613	 -0.004	 -0.012	  2.490	 12.191	 75.000	 11.158
         23.677	 -0.007	  0.002	  2.500	 12.223	 75.000	 11.132
         23.742	 -0.004	 -0.007	  2.510	 12.249	 75.000	 11.122
         23.806	 -0.025	  0.001	  2.523	 12.273	 75.000	 11.122
         23.871	  0.005	  0.003	  2.537	 12.289	 75.000	 11.126
         23.935	 -0.450	 -0.004	  2.552	 12.300	 75.000	 11.130
         24.000	  0.056	 -0.003	  2.566	 12.306	 75.000	 11.140
         24.065	  0.066	  0.003	  2.584	 12.311	 75.000	 11.148
         24.129	  0.018	  0.009	  2.600	 12.315	 75.000	 11.148
         24.194	  0.038	  0.006	  2.616	 12.314	 84.000	 11.148
         24.258	  0.037	 -0.016	  2.631	 12.312	 84.000	 11.140
         24.323	  0.025	 -0.010	  2.647	 12.306	 84.000	 11.136
         24.387	  0.018	 -0.006	  2.662	 12.299	 84.000	 11.120
         24.452	  0.015	 -0.001	  2.674	 12.286	 84.000	 11.090
         24.516	  0.008	 -0.000	  2.687	 12.270	 84.000	 11.068
         24.581	  0.007	 -0.002	  2.698	 12.254	 84.000	 11.062
         24.645	 -0.004	 -0.012	  2.708	 12.236	 84.000	 11.058
         24.710	 -0.218	 -0.006	  2.717	 12.218	 84.000	 11.056
         24.774	 -0.168	 -0.015	  2.726	 12.198	 84.000	 11.044
         24.839	  0.100	 -0.009	  2.732	 12.177	 84.000	 11.036
         24.903	  0.116	  0.001	  2.738	 12.156	 84.000	 11.026
