   Elapsed time	   RESP	  ECG I	  ECG V	 ECG II	  PLETH	    ABP
          1.144	  0.267	  0.485	  0.106	  0.585	  0.463	138.657
          1.152	  0.276	  0.709	 -0.360	  0.500	  0.466	137.679
          1.160	  0.284	  0.214	 -0.010	  0.385	  0.470	136.897
          1.168	  0.292	 -0.214	  0.436	  0.230	  0.475	136.115
          1.176	  0.300	 -0.345	  0.655	  0.265	  0.481	135.333
          1.184	  0.308	 -0.394	  0.704	  0.245	  0.488	134.550
          1.192	  0.315	 -0.365	  0.761	  0.214	  0.495	133.768
          1.200	  0.322	 -0.419	  0.749	  0.185	  0.500	132.986
          1.208	  0.328	 -0.394	  0.766	  0.175	  0.503	132.203
          1.216	  0.334	 -0.451	  0.714	  0.150	  0.507	131.421
          1.224	  0.340	 -0.426	  0.724	  0.169	  0.510	130.639
          1.232	  0.345	 -0.451	  0.734	  0.114	  0.512	129.857
          1.240	  0.351	 -0.461	  0.729	  0.155	  0.514	129.074
          1.248	  0.355	 -0.446	  0.690	  0.095	  0.516	128.488
          1.256	  0.360	 -0.485	  0.719	  0.074	  0.518	127.705
          1.264	  0.362	 -0.461	  0.734	  0.090	  0.520	127.119
          1.272	  0.365	 -0.500	  0.709	  0.050	  0.522	126.336
          1.280	  0.367	 -0.490	  0.714	  0.105	  0.524	125.750
          1.288	  0.368	 -0.500	  0.734	  0.090	  0.526	125.359
          1.296	  0.367	 -0.475	  0.714	  0.069	  0.527	124.772
          1.304	  0.367	 -0.510	  0.744	  0.060	  0.528	124.185
          1.312	  0.365	 -0.466	  0.771	  0.055	  0.528	123.794
          1.320	  0.362	 -0.480	  0.761	  0.065	  0.527	123.207
          1.328	  0.359	 -0.431	  0.791	  0.119	  0.526	122.816
          1.336	  0.356	 -0.436	  0.771	  0.164	  0.524	122.230
          1.344	  0.352	 -0.426	  0.761	  0.135	  0.522	121.838
          1.352	  0.349	 -0.466	  0.729	  0.095	  0.520	121.838
          1.360	  0.344	 -0.456	  0.739	  0.084	  0.517	122.034
          1.368	  0.340	 -0.451	  0.695	  0.105	  0.515	122.816
          1.376	  0.335	 -0.394	  0.690	  0.185	  0.513	124.185
          1.384	  0.330	 -0.394	  0.680	  0.164	  0.511	125.750
          1.392	  0.326	 -0.360	  0.690	  0.190	  0.508	127.705
          1.400	  0.324	 -0.355	  0.690	  0.220	  0.506	129.661
          1.408	  0.322	 -0.335	  0.709	  0.214	  0.504	131.421
          1.416	  0.320	 -0.325	  0.714	  0.235	  0.501	132.986
          1.424	  0.319	 -0.261	  0.729	  0.265	  0.499	134.355
          1.432	  0.318	 -0.276	  0.704	  0.295	  0.497	135.528
          1.440	  0.317	 -0.249	  0.734	  0.280	  0.495	136.702
          1.448	  0.317	 -0.234	  0.700	  0.330	  0.494	137.679
          1.456	  0.318	 -0.261	  0.685	  0.310	  0.493	138.657
          1.464	  0.319	 -0.249	  0.719	  0.325	  0.493	139.635
          1.472	  0.321	 -0.271	  0.709	  0.275	  0.493	140.613
          1.480	  0.322	 -0.249	  0.700	  0.310	  0.493	141.395
          1.488	  0.324	 -0.296	  0.734	  0.280	  0.493	142.177
          1.496	  0.326	 -0.204	  0.761	  0.365	  0.493	142.960
          1.504	  0.327	 -0.214	  0.729	  0.340	  0.492	143.546
          1.512	  0.330	 -0.175	  0.756	  0.335	  0.489	144.329
          1.520	  0.332	 -0.126	  0.744	  0.410	  0.486	144.915
          1.528	  0.335	 -0.079	  0.766	  0.460	  0.483	145.306
          1.536	  0.338	 -0.096	  0.714	  0.415	  0.482	145.893
          1.544	  0.342	 -0.025	  0.724	  0.455	  0.481	146.284
          1.552	  0.347	 -0.044	  0.690	  0.465	  0.481	146.675
          1.560	  0.352	 -0.069	  0.704	  0.470	  0.481	146.675
          1.568	  0.359	 -0.135	  0.719	  0.450	  0.481	146.675
          1.576	  0.365	 -0.044	  0.744	  0.545	  0.481	146.480
          1.584	  0.370	 -0.039	  0.739	  0.580	  0.480	146.089
          1.592	  0.376	 -0.069	  0.781	  0.560	  0.479	145.698
          1.600	  0.381	 -0.030	  0.756	  0.565	  0.477	145.111
          1.608	  0.386	  0.000	  0.771	  0.540	  0.475	144.524
          1.616	  0.392	  0.030	  0.786	  0.600	  0.474	143.742
          1.624	  0.397	  0.116	  0.781	  0.730	  0.473	142.960
          1.632	  0.403	  0.150	  0.845	  0.765	  0.473	141.982
          1.640	  0.409	  0.256	  1.106	  0.815	  0.474	141.200
          1.648	  0.413	  0.510	  0.771	  0.940	  0.476	140.222
          1.656	  0.418	  0.985	  0.116	  1.001	  0.479	139.439
          1.664	  0.422	  1.281	 -0.330	  1.001	  0.483	138.657
          1.672	  0.426	  0.820	  0.165	  1.001	  0.487	137.875
          1.680	  0.428	  0.475	  0.635	  0.995	  0.491	137.093
          1.688	  0.430	  0.379	  0.909	  0.950	  0.495	136.310
          1.696	  0.430	  0.365	  0.975	  0.990	  0.498	135.724
          1.704	  0.430	  0.409	  1.030	  1.001	  0.500	134.941
          1.712	  0.426	  0.414	  1.049	  1.001	  0.503	134.355
          1.720	  0.423	  0.374	  1.020	  1.001	  0.508	133.572
          1.728	  0.417	  0.421	  1.039	  1.001	  0.513	132.790
          1.736	  0.412	  0.409	  1.015	  1.001	  0.519	132.203
          1.744	  0.405	  0.441	  1.054	  1.001	  0.524	131.421
          1.752	  0.398	  0.475	  1.025	  1.001	  0.528	130.835
          1.760	  0.389	  0.569	  1.096	  1.001	  0.532	130.052
          1.768	  0.381	  0.549	  1.101	  1.001	  0.535	129.270
          1.776	  0.372	  0.534	  1.074	  1.001	  0.538	128.683
          1.784	  0.363	  0.485	  1.044	  1.001	  0.540	128.097
          1.792	  0.352	  0.480	  1.054	  1.001	  0.541	127.314
          1.800	  0.342	  0.461	  1.049	  1.001	  0.541	126.728
          1.808	  0.333	  0.544	  1.131	  1.001	  0.540	126.141
          1.816	  0.325	  0.500	  1.126	  1.001	  0.539	125.554
          1.824	  0.317	  0.505	  1.131	  1.001	  0.539	124.772
          1.832	  0.310	  0.436	  1.111	  1.001	  0.538	124.185
          1.840	  0.303	  0.461	  1.101	  1.001	  0.538	123.599
          1.848	  0.297	  0.431	  1.084	  1.001	  0.537	123.012
          1.856	  0.292	  0.409	  1.074	  1.001	  0.536	122.621
          1.864	  0.286	  0.436	  1.079	  1.001	  0.534	122.621
          1.872	  0.283	  0.404	  1.039	  1.001	  0.532	123.012
          1.880	  0.281	  0.451	  1.020	  1.001	  0.528	123.990
          1.888	  0.280	  0.399	  0.990	  1.001	  0.523	125.359
          1.896	  0.279	  0.414	  0.941	  1.000	  0.518	127.119
          1.904	  0.279	  0.384	  0.919	  0.966	  0.513	129.074
          1.912	  0.280	  0.394	  0.941	  0.971	  0.508	130.835
          1.920	  0.281	  0.355	  0.926	  0.950	  0.504	132.595
          1.928	  0.282	  0.365	  0.909	  0.940	  0.501	134.159
          1.936	  0.283	  0.305	  0.889	  0.910	  0.500	135.333
          1.944	  0.284	  0.335	  0.926	  0.921	  0.499	136.702
          1.952	  0.286	  0.310	  0.884	  0.900	  0.499	137.679
          1.960	  0.288	  0.320	  0.904	  0.895	  0.499	138.853
          1.968	  0.290	  0.305	  0.894	  0.900	  0.499	139.831
          1.976	  0.292	  0.330	  0.946	  0.940	  0.498	140.808
          1.984	  0.294	  0.266	  0.919	  0.860	  0.497	141.591
          1.992	  0.296	  0.296	  0.909	  0.850	  0.497	142.373
          2.000	  0.298	  0.310	  0.926	  0.890	  0.496	143.155
          2.008	  0.300	  0.369	  0.975	  0.931	  0.495	143.938
          2.016	  0.302	  0.384	  0.980	  0.950	  0.495	144.720
          2.024	  0.304	  0.404	  0.956	  0.971	  0.495	145.306
          2.032	  0.304	  0.409	  0.966	  0.976	  0.495	145.893
          2.040	  0.305	  0.389	  0.899	  0.940	  0.495	146.284
          2.048	  0.304	  0.365	  0.845	  0.916	  0.495	146.871
          2.056	  0.303	  0.436	  0.850	  0.955	  0.495	147.067
          2.064	  0.300	  0.389	  0.830	  0.961	  0.494	147.262
          2.072	  0.298	  0.340	  0.874	  0.860	  0.492	147.458
          2.080	  0.294	  0.291	  0.879	  0.890	  0.490	147.262
          2.088	  0.291	  0.219	  0.850	  0.810	  0.488	147.067
          2.096	  0.285	  0.170	  0.820	  0.786	  0.487	146.675
          2.104	  0.281	  0.160	  0.800	  0.770	  0.487	145.893
          2.112	  0.275	  0.224	  0.845	  0.836	  0.487	145.306
          2.120	  0.269	  0.219	  0.874	  0.805	  0.487	144.524
          2.128	  0.264	  0.251	  0.879	  0.860	  0.487	143.546
          2.136	  0.258	  0.271	  0.860	  0.886	  0.487	142.373
          2.144	  0.254	  0.286	  0.894	  0.916	  0.487	141.395
          2.152	  0.249	  0.244	  1.069	  0.845	  0.487	140.222
          2.160	  0.245	  0.466	  0.835	  0.916	  0.489	139.048
          2.168	  0.241	  0.884	  0.160	  1.001	  0.492	138.070
          2.176	  0.239	  1.135	 -0.244	  0.995	  0.495	137.093
          2.184	  0.235	  0.621	  0.135	  0.860	  0.498	136.310
          2.192	  0.232	  0.244	  0.569	  0.775	  0.500	135.333
          2.200	  0.229	  0.096	  0.786	  0.710	  0.502	134.550
          2.208	  0.226	  0.116	  0.889	  0.725	  0.505	133.768
          2.216	  0.224	  0.101	  0.904	  0.705	  0.509	132.986
          2.224	  0.222	  0.140	  0.931	  0.715	  0.513	132.203
          2.232	  0.220	  0.111	  0.941	  0.675	  0.518	131.617
          2.240	  0.218	  0.145	  0.914	  0.730	  0.522	131.030
          2.248	  0.217	  0.069	  0.874	  0.670	  0.526	130.248
          2.256	  0.216	  0.111	  0.926	  0.665	  0.529	129.661
          2.264	  0.215	  0.116	  0.889	  0.720	  0.532	129.074
          2.272	  0.215	  0.074	  0.879	  0.650	  0.534	128.292
          2.280	  0.214	  0.101	  0.904	  0.620	  0.536	127.705
          2.288	  0.214	  0.069	  0.874	  0.656	  0.538	126.923
          2.296	  0.213	  0.096	  0.884	  0.675	  0.538	126.336
          2.304	  0.211	  0.069	  0.904	  0.650	  0.538	125.554
          2.312	  0.210	  0.074	  0.874	  0.660	  0.538	124.967
          2.320	  0.207	 -0.025	  0.860	  0.560	  0.538	124.185
          2.328	  0.203	  0.039	  0.889	  0.620	  0.538	123.599
          2.336	  0.198	  0.059	  0.894	  0.595	  0.538	123.012
          2.344	  0.194	  0.069	  0.899	  0.625	  0.538	122.425
          2.352	  0.188	  0.039	  0.909	  0.611	  0.537	121.838
          2.360	  0.181	  0.064	  0.874	  0.640	  0.536	121.447
          2.368	  0.174	  0.015	  0.865	  0.580	  0.534	121.056
          2.376	  0.167	  0.091	  0.899	  0.635	  0.532	121.056
          2.384	  0.162	  0.074	  0.850	  0.630	  0.530	121.252
          2.392	  0.157	  0.086	  0.830	  0.660	  0.528	122.034
          2.400	  0.153	  0.015	  0.805	  0.580	  0.526	123.207
          2.408	  0.151	  0.005	  0.800	  0.555	  0.524	124.967
          2.416	  0.148	 -0.010	  0.786	  0.500	  0.522	126.728
          2.424	  0.146	  0.005	  0.800	  0.525	  0.520	128.683
          2.432	  0.145	 -0.030	  0.776	  0.550	  0.516	130.248
          2.440	  0.143	 -0.054	  0.756	  0.495	  0.511	132.008
          2.448	  0.142	 -0.059	  0.744	  0.530	  0.507	133.377
          2.456	  0.141	  0.005	  0.786	  0.510	  0.504	134.746
          2.464	  0.140	  0.030	  0.800	  0.565	  0.503	135.919
          2.472	  0.140	  0.005	  0.771	  0.500	  0.501	137.093
          2.480	  0.139	  0.025	  0.761	  0.565	  0.500	138.070
          2.488	  0.139	  0.000	  0.791	  0.605	  0.498	138.853
          2.496	  0.139	  0.030	  0.786	  0.620	  0.496	139.635
          2.504	  0.140	 -0.015	  0.781	  0.545	  0.493	140.613
          2.512	  0.141	  0.005	  0.810	  0.565	  0.490	141.200
          2.520	  0.142	 -0.034	  0.796	  0.495	  0.487	141.982
          2.528	  0.144	  0.034	  0.810	  0.545	  0.485	142.569
          2.536	  0.146	  0.020	  0.786	  0.520	  0.484	143.351
          2.544	  0.148	  0.150	  0.815	  0.660	  0.483	143.938
          2.552	  0.151	  0.064	  0.766	  0.560	  0.483	144.329
          2.560	  0.154	  0.074	  0.729	  0.535	  0.482	144.915
          2.568	  0.158	  0.030	  0.685	  0.550	  0.480	145.111
          2.576	  0.161	  0.015	  0.709	  0.515	  0.477	145.306
          2.584	  0.165	 -0.059	  0.680	  0.480	  0.474	145.306
          2.592	  0.168	 -0.044	  0.709	  0.495	  0.470	145.306
          2.600	  0.172	 -0.079	  0.724	  0.470	  0.467	145.111
          2.608	  0.174	 -0.049	  0.756	  0.495	  0.465	144.720
          2.616	  0.177	 -0.084	  0.714	  0.500	  0.464	144.329
          2.624	  0.180	 -0.079	  0.729	  0.465	  0.463	143.546
          2.632	  0.183	 -0.111	  0.724	  0.495	  0.463	142.764
          2.640	  0.186	 -0.106	  0.739	  0.455	  0.463	141.982
          2.648	  0.189	 -0.145	  0.709	  0.475	  0.463	140.808
          2.656	  0.193	 -0.121	  0.781	  0.435	  0.464	139.831
          2.664	  0.196	 -0.074	  0.926	  0.490	  0.466	138.853
          2.672	  0.200	  0.195	  0.645	  0.580	  0.469	137.679
          2.680	  0.205	  0.611	 -0.010	  0.650	  0.472	136.702
          2.688	  0.210	  0.761	 -0.369	  0.570	  0.475	135.724
          2.696	  0.215	  0.209	  0.086	  0.455	  0.478	134.941
          2.704	  0.220	 -0.069	  0.525	  0.395	  0.481	134.355
          2.712	  0.225	 -0.170	  0.709	  0.415	  0.485	133.572
          2.720	  0.229	 -0.209	  0.796	  0.360	  0.489	132.986
          2.728	  0.233	 -0.175	  0.830	  0.410	  0.493	132.399
          2.736	  0.237	 -0.224	  0.800	  0.380	  0.498	131.617
          2.744	  0.239	 -0.204	  0.810	  0.420	  0.501	131.030
          2.752	  0.243	 -0.249	  0.805	  0.410	  0.504	130.443
          2.760	  0.246	 -0.150	  0.805	  0.460	  0.506	129.857
          2.768	  0.249	 -0.165	  0.800	  0.430	  0.508	129.074
          2.776	  0.251	 -0.135	  0.825	  0.435	  0.510	128.488
          2.784	  0.253	 -0.175	  0.805	  0.380	  0.512	127.705
          2.792	  0.255	 -0.165	  0.810	  0.400	  0.514	127.119
          2.800	  0.256	 -0.219	  0.796	  0.360	  0.516	126.336
          2.808	  0.257	 -0.190	  0.805	  0.415	  0.517	125.554
          2.816	  0.257	 -0.195	  0.810	  0.370	  0.519	124.967
          2.824	  0.258	 -0.145	  0.840	  0.410	  0.521	124.381
          2.832	  0.257	 -0.116	  0.815	  0.450	  0.523	123.794
          2.840	  0.257	 -0.131	  0.860	  0.440	  0.525	123.207
          2.848	  0.256	 -0.084	  0.879	  0.515	  0.527	122.621
          2.856	  0.255	 -0.049	  0.919	  0.505	  0.528	122.034
          2.864	  0.255	 -0.044	  0.874	  0.520	  0.527	121.447
          2.872	  0.254	 -0.091	  0.855	  0.495	  0.526	121.056
          2.880	  0.255	 -0.074	  0.869	  0.520	  0.524	120.665
          2.888	  0.255	 -0.054	  0.845	  0.490	  0.521	120.665
          2.896	  0.255	 -0.116	  0.874	  0.410	  0.519	121.056
          2.904	  0.256	 -0.150	  0.781	  0.380	  0.517	121.838
          2.912	  0.256	 -0.180	  0.761	  0.395	  0.515	123.207
          2.920	  0.256	 -0.195	  0.749	  0.370	  0.513	124.967
          2.928	  0.255	 -0.091	  0.761	  0.475	  0.512	126.923
          2.936	  0.255	 -0.111	  0.786	  0.460	  0.510	128.683
          2.944	  0.254	 -0.054	  0.800	  0.495	  0.508	130.443
          2.952	  0.254	 -0.084	  0.766	  0.475	  0.505	132.008
          2.960	  0.253	 -0.054	  0.786	  0.495	  0.501	133.377
          2.968	  0.252	 -0.069	  0.761	  0.490	  0.498	134.746
          2.976	  0.252	 -0.030	  0.791	  0.515	  0.494	135.919
          2.984	  0.251	 -0.044	  0.771	  0.490	  0.491	137.093
          2.992	  0.250	 -0.030	  0.761	  0.515	  0.490	138.070
          3.000	  0.249	 -0.079	  0.749	  0.480	  0.489	139.048
          3.008	  0.248	 -0.010	  0.781	  0.540	  0.489	139.831
          3.016	  0.247	 -0.131	  0.734	  0.455	  0.489	140.808
          3.024	  0.245	 -0.135	  0.766	  0.470	  0.489	141.591
          3.032	  0.243	 -0.106	  0.729	  0.415	  0.489	142.177
          3.040	  0.240	 -0.121	  0.781	  0.410	  0.488	142.960
          3.048	  0.238	 -0.059	  0.791	  0.460	  0.486	143.546
          3.056	  0.235	  0.005	  0.771	  0.440	  0.484	143.938
          3.064	  0.232	  0.025	  0.734	  0.510	  0.481	144.524
          3.072	  0.229	  0.005	  0.714	  0.455	  0.478	144.915
          3.080	  0.226	  0.034	  0.665	  0.505	  0.476	145.111
          3.088	  0.224	 -0.015	  0.704	  0.470	  0.474	145.306
          3.096	  0.222	 -0.106	  0.680	  0.475	  0.472	145.306
          3.104	  0.222	 -0.126	  0.675	  0.465	  0.470	145.306
          3.112	  0.221	 -0.101	  0.714	  0.470	  0.467	144.915
          3.120	  0.223	 -0.140	  0.695	  0.455	  0.464	144.524
          3.128	  0.224	 -0.039	  0.771	  0.500	  0.460	143.938
          3.136	  0.227	 -0.160	  0.709	  0.380	  0.457	143.351
          3.144	  0.230	 -0.165	  0.714	  0.395	  0.453	142.569
          3.152	  0.234	 -0.180	  0.700	  0.385	  0.450	141.786
          3.160	  0.238	 -0.106	  0.714	  0.520	  0.448	141.004
          3.168	  0.243	 -0.145	  0.820	  0.495	  0.447	140.026
          3.176	  0.248	  0.015	  0.966	  0.520	  0.447	139.244
          3.184	  0.254	  0.320	  0.451	  0.611	  0.449	138.266
          3.192	  0.260	  0.850	 -0.229	  0.815	  0.452	137.484
          3.200	  0.267	  0.961	 -0.436	  0.705	  0.456	136.702
